product_family,month,total_downloads,ios_downloads,google_play_downloads,revenue_usd,paid_downloads_proxy,organic_downloads,organic_share,top_5_countries,ad_creative_count,rating,review_count,major_version,liveops_event,ip_collab,organic_paid_ratio,rpd_usd,download_peak_ratio,revenue_peak_ratio,revenue_persistence,3m_revenue_carryover,download_scope,revenue_scope,data_status,source_url,notes
Gossip Harbor,2022-07,1000400,n.a.,n.a.,487200,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,0.4870051979208317,0.08805469883250946,0.005597761667438082,0.06357141346977624,n.a.,Diandian product collection,Diandian product collection,verified_visible_table;same_scope,https://app.diandian.com/app/yedipu8p7819ir4/googleplay-downloads | https://app.diandian.com/app/yedipu8p7819ir4/googleplay-income,Diandian authenticated monthly table. Picker requested 2021-09..2026-08; output starts at first rendered month or product launch.
Gossip Harbor,2022-08,1413401,n.a.,n.a.,1964677,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,1.3900350997346118,0.12440683664990776,0.02257346797926365,0.18144877393504874,n.a.,Diandian product collection,Diandian product collection,verified_visible_table;same_scope,https://app.diandian.com/app/yedipu8p7819ir4/googleplay-downloads | https://app.diandian.com/app/yedipu8p7819ir4/googleplay-income,Diandian authenticated monthly table. Picker requested 2021-09..2026-08; output starts at first rendered month or product launch.
Gossip Harbor,2022-09,558324,n.a.,n.a.,1474632,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,2.641176091301825,0.04914339431323672,0.01694301823312306,0.3447669512840198,0.015038082626608261,Diandian product collection,Diandian product collection,verified_visible_table;same_scope,https://app.diandian.com/app/yedipu8p7819ir4/googleplay-downloads | https://app.diandian.com/app/yedipu8p7819ir4/googleplay-income,Diandian authenticated monthly table. Picker requested 2021-09..2026-08; output starts at first rendered month or product launch.
Gossip Harbor,2022-10,658793,n.a.,n.a.,2440209,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,3.704060304223026,0.05798662455814216,0.02803716831021637,0.4835109566017936,0.02251788484086769,Diandian product collection,Diandian product collection,verified_visible_table;same_scope,https://app.diandian.com/app/yedipu8p7819ir4/googleplay-downloads | https://app.diandian.com/app/yedipu8p7819ir4/googleplay-income,Diandian authenticated monthly table. Picker requested 2021-09..2026-08; output starts at first rendered month or product launch.
Gossip Harbor,2022-11,424019,n.a.,n.a.,2552749,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,6.020364653470717,0.03732193656963398,0.029330214488487064,0.7858706483186843,0.0247701336772755,Diandian product collection,Diandian product collection,verified_visible_table;same_scope,https://app.diandian.com/app/yedipu8p7819ir4/googleplay-downloads | https://app.diandian.com/app/yedipu8p7819ir4/googleplay-income,Diandian authenticated monthly table. Picker requested 2021-09..2026-08; output starts at first rendered month or product launch.
Gossip Harbor,2022-12,418718,n.a.,n.a.,3003720,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,7.173610878920897,0.03685534524765164,0.034511717314690306,0.9364100941881512,0.030626366704464583,Diandian product collection,Diandian product collection,verified_visible_table;same_scope,https://app.diandian.com/app/yedipu8p7819ir4/googleplay-downloads | https://app.diandian.com/app/yedipu8p7819ir4/googleplay-income,Diandian authenticated monthly table. Picker requested 2021-09..2026-08; output starts at first rendered month or product launch.
Gossip Harbor,2023-01,393186,n.a.,n.a.,3491408,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,8.879787174517913,0.03460803160251806,0.0401150859355227,1.159126482437792,0.03465233924623336,Diandian product collection,Diandian product collection,verified_visible_table;same_scope,https://app.diandian.com/app/yedipu8p7819ir4/googleplay-downloads | https://app.diandian.com/app/yedipu8p7819ir4/googleplay-income,Diandian authenticated monthly table. Picker requested 2021-09..2026-08; output starts at first rendered month or product launch.
Gossip Harbor,2023-02,338991,n.a.,n.a.,3356848,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,9.902469387092873,0.02983781528581689,0.038569037474992185,1.2926227039593476,0.03773194690840173,Diandian product collection,Diandian product collection,verified_visible_table;same_scope,https://app.diandian.com/app/yedipu8p7819ir4/googleplay-downloads | https://app.diandian.com/app/yedipu8p7819ir4/googleplay-income,Diandian authenticated monthly table. Picker requested 2021-09..2026-08; output starts at first rendered month or product launch.
Gossip Harbor,2023-03,279061,n.a.,n.a.,4148614,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,14.866333883989522,0.024562807188023717,0.04766615850204633,1.9405826922456688,0.04211676063752041,Diandian product collection,Diandian product collection,verified_visible_table;same_scope,https://app.diandian.com/app/yedipu8p7819ir4/googleplay-downloads | https://app.diandian.com/app/yedipu8p7819ir4/googleplay-income,Diandian authenticated monthly table. Picker requested 2021-09..2026-08; output starts at first rendered month or product launch.
Gossip Harbor,2023-04,248970,n.a.,n.a.,4268998,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,17.14663614090051,0.02191421268325658,0.049049329562335466,2.238242836796565,0.04509484184645799,Diandian product collection,Diandian product collection,verified_visible_table;same_scope,https://app.diandian.com/app/yedipu8p7819ir4/googleplay-downloads | https://app.diandian.com/app/yedipu8p7819ir4/googleplay-income,Diandian authenticated monthly table. Picker requested 2021-09..2026-08; output starts at first rendered month or product launch.
