Requirement,Status,Coverage_Maturity,File,Coverage,Limitation,Next_Action,Evidence_Needed
Market/KPI,PARTIAL,HIGH,06_ua_liveops/COZY_FLORIST_US_MONETIZATION_COMMUNITY_v0.1_2026-09-26.csv,"Adds current US App Store scale/rating and global Android scale context","No US-only monthly downloads/IAP, DAU or payer","Recover matched US title KPI","US monthly D/IAP + DAU/payer"
Art/Visual,PARTIAL,MEDIUM-HIGH,02_art_style/PRIORITY8_CURRENT_VISUAL_FRAME_INDEX_v0.4_2026-09-25.csv,"Existing visual-role coverage retained","No new annotated image asset pack in this run","Capture official current screens with annotations","3–8 annotated current screenshots"
Core Gameplay,PARTIAL,MEDIUM-HIGH,03_gameplay/PRIORITY8_TIMED_CORE_PROMISE_EVIDENCE_v0.3_2026-09-25.csv,"Garden + flower-shop dual loop retained; Dragon Chant ties collection/nurture back to shop decoration","Exact first-30s current build incomplete","Timestamp current build","Current device/video first 30s"
FTUE,PARTIAL,MEDIUM-HIGH,03_gameplay/PRIORITY8_CURRENT_ONBOARDING_PROGRESSION_RECOVERY_v0.5_2026-09-25.csv,"Existing onboarding coverage retained","Exact current T+0→30m + D1/D3/D7/D14 incomplete","Capture current session","Timed unlocks / first ad/offer/social"
Progression/Meta/Side,PARTIAL,HIGH,06_ua_liveops/COZY_FLORIST_US_MONETIZATION_COMMUNITY_v0.1_2026-09-26.csv,"Adds Dragon Chant collection/nurture/decor event and social/guild fairness review signals","Exact unlocks and Astral rules not fully captured","Map live account systems","Unlock + participation + duplicate/pity rules"
Economy/Monetization,PARTIAL,HIGH,06_ua_liveops/COZY_FLORIST_US_MONETIZATION_COMMUNITY_v0.1_2026-09-26.csv,"Adds current US IAP ladder, Loot Boxes/Advertising metadata, Astral fairness risk","No offer triggers, segmentation, ad cap telemetry, conversion","Capture in-game offer/gacha/ad sequence","Trigger/price/pity/ad-frequency/conversion"
LiveOps/Event Calendar,PARTIAL,HIGH,06_ua_liveops/COZY_FLORIST_VERSION_RELEASE_CADENCE_v0.1_2026-09-26.csv,"Adds current Dragon Chant event + 25-version May→Sep cadence","Exact event start/end and historical event calendar incomplete","Recover event windows and overlaps","Start/end + event participation + asset-hours"
UA/Creative/Promotion,PARTIAL,HIGH,06_ua_liveops/COZY_FLORIST_US_MONETIZATION_COMMUNITY_v0.1_2026-09-26.csv,"Adds current Discord scale/weekly gift code and physical-bouquet bridge","Paid/organic/source mix and absolute spend remain missing","Join community/claim traffic to provider/MMP data","Paid/organic/web + claim/source cohorts"
Reviews/Versions,PARTIAL,HIGH,06_ua_liveops/COZY_FLORIST_VERSION_RELEASE_CADENCE_v0.1_2026-09-26.csv,"Adds current version history and current US review monetization-risk samples","Exact review-version mapping and full corpus incomplete","Acquire review export","Timestamp + rating + exact version + review ID"
Trend/Cause,PARTIAL,HIGH,06_ua_liveops/COZY_FLORIST_US_MONETIZATION_COMMUNITY_v0.1_2026-09-26.csv,"Current review/version/community evidence expands crosscheck inventory","No matched US monthly KPI anomaly in this run","No E-level promotion until KPI/source timing aligns","US KPI + source/event/review alignment"
Production Burden,PARTIAL,HIGH,06_ua_liveops/COZY_FLORIST_VERSION_RELEASE_CADENCE_v0.1_2026-09-26.csv,"Adds rapid client cadence plus community/physical-fulfillment/localization burden","Team size, asset-hours, QA/support/fulfillment staffing unavailable","Separate client, community and physical-reward operations","Headcount + asset-hours + support/fulfillment"
Benchmark-by-Objective,DONE,HIGH,09_reports/BENCHMARK_BY_OBJECTIVE_v3.0_2026-09-26.csv,"Adds rapid cadence, community, physical reward, chance-monetization and localization-launch objectives","Impact telemetry incomplete","Maintain by objective","US KPI + claim/fulfillment economics"
Ops Cat Product Translation,PARTIAL,HIGH,09_reports/SIMS_FULL_COMPETITOR_INTELLIGENCE_ATLAS_v3.8_2026-09-26.html,"Adds community CRM + physical-reward experiment + fairness guardrails","Needs own community/claim/economy telemetry","Test virtual reward first, physical reward only after unit economics","Claim→return + fraud + fulfillment + D7"
US/Global,PARTIAL,HIGH,09_reports/SIMS_FULL_COMPETITOR_INTELLIGENCE_ATLAS_v3.8_2026-09-26.html,"US-first strengthened with current US store/rating/IAP/review/event; Japan localization retained only as Global-secondary benchmark","US monthly KPI/source mix unavailable","Keep geography labels separate","US provider/MMP refresh"
Evidence/Status Audit,DONE,HIGH,09_reports/STATUS_AUDIT_v3.8_2026-09-26.csv,"Formal taxonomy compliant","Material gaps remain","Update every release","Source-level evidence"
