Requirement,Status,Coverage_Maturity,File,Coverage,Limitation,Next_Action,Evidence_Needed
Market/KPI,PARTIAL,HIGH,01_watchlist/DIANDIAN_PRIORITY8_US_CURRENT_MONTH_2026-08.csv,2026-08 US D/IAP for 7/8 retained,Sep US month absent; Heartopia scope mismatch,Refresh one-provider US month,US Sep D/IAP + Heartopia same-scope row
Art/Visual,PARTIAL,MEDIUM-HIGH,02_art_style/PRIORITY8_CURRENT_VISUAL_FRAME_INDEX_v0.4_2026-09-25.csv,Priority8 visual-role coverage retained,Four titles lack archived annotated binaries,Capture current binaries,Official screenshots + annotations
Core Gameplay,PARTIAL,MEDIUM-HIGH,03_gameplay/PRIORITY8_TIMED_CORE_PROMISE_EVIDENCE_v0.3_2026-09-25.csv,Priority loops + selected timed evidence retained,Exact current first-30s incomplete for most,Timestamp current builds,Device/video first 30s
FTUE,PARTIAL,MEDIUM,03_gameplay/PRIORITY8_CURRENT_ONBOARDING_PROGRESSION_RECOVERY_v0.5_2026-09-25.csv,Current routes/gates retained,Exact T+0→30m + D1/D3/D7/D14 incomplete,Normalize current routes,Exact timestamps / cohort unlocks
Progression/Meta/Side,PARTIAL,MEDIUM-HIGH,03_gameplay/PRIORITY8_CURRENT_ONBOARDING_PROGRESSION_RECOVERY_v0.5_2026-09-25.csv,Current gates/taxonomy retained,Some gates guide-derived,Direct validate key gates,Current account/video evidence
Economy/Monetization,PARTIAL,HIGH,09_reports/PRIORITY8_MONETIZATION_CRM_ARCHITECTURE_v0.7_2026-09-25.csv,Architecture retained; Hay Day Deals Week + Township Golden Ticket evidence added,Trigger/segment/frequency/conversion mostly missing,Capture offer sequence,Offer exposure + conversion
LiveOps/Event Calendar,PARTIAL,HIGH,06_ua_liveops/TOWNSHIP_HAYDAY_PUBLIC_LIVEOPS_RECOVERY_v0.2_2026-09-25.csv,Township four-track Sep25 stack + Hay Day 2026 offer/event history,Participation and full all-8 history incomplete,Complete participation/cost layer,Participation + asset cost
UA/Creative/Promotion,PARTIAL,HIGH,06_ua_liveops/PRIORITY8_PUBLIC_AD_CHANNEL_ARCHITECTURE_v0.6_2026-09-25.csv,Current observed channel architecture for Gossip Harbor Township Hay Day and Cozy Florist + Heartopia launch mix,Not paid/organic install mix; spend/CPI/CTR/CVR absent; 3 titles lack current mix,Acquire MMP/provider attribution,Paid/organic/web mix + spend/CPI/CTR/CVR
Reviews/Versions,PARTIAL,HIGH,09_reports/BIG_FARM_HOMESTEAD_LIVEOPS_RECOVERY_LOG_v0.1_2026-09-25.csv,Current version/incident evidence retained,Exact review-by-version corpus incomplete,Normalize reviews by exact version,Review timestamp/rating/version/theme
Trend/Cause,PARTIAL,HIGH,09_reports/SIMS_19_GAME_COMPETITOR_TREND_CAUSE_ANALYSIS_v1.0_2026-09-24.md,Ad-channel observations improve UA crosscheck context,Observed channel % does not equal install-source mix or spend,Pair with paid/organic/MMP data,US source mix + spend timing
Production Burden,PARTIAL,HIGH,09_reports/PRIORITY8_PRODUCTION_ENVELOPE_v0.8_2026-09-25.csv,Production envelopes retained,Current exact team/asset-hours/QA ratios missing,Capture staffing/workflow,Headcount + asset-hours + QA/outsource
Benchmark-by-Objective,DONE,HIGH,09_reports/BENCHMARK_BY_OBJECTIVE_v2.0_2026-09-25.csv,Channel concentration/diversification launch burst and low-asset event objectives added,Observed channels are not budget attribution,Maintain by objective,MMP + spend + owned event metrics
Ops Cat Product Translation,PARTIAL,HIGH,09_reports/SIMS_FULL_COMPETITOR_INTELLIGENCE_ATLAS_v2.8_2026-09-25.html,Adds channel-test architecture and event-concurrency rules,Needs owned UA/event telemetry,Run controlled US channel tests,Spend/CPI/CVR/D7 + event entry
US/Global,PARTIAL,HIGH,09_reports/SIMS_FULL_COMPETITOR_INTELLIGENCE_ATLAS_v2.8_2026-09-25.html,US-source-market pages for Gossip/Township/Hay Day; Cozy multi-market; Heartopia launch mix secondary,3 titles lack current public channel mix; no true paid/organic split,Keep scope separated,US MMP/provider mix
Evidence/Status Audit,DONE,HIGH,09_reports/STATUS_AUDIT_v2.8_2026-09-25.csv,Status taxonomy compliant,Material gaps remain,Update every release,Source-level evidence
