Requirement,Status,Coverage_Maturity,Coverage,Limitation,Next_Action
Market/KPI,PARTIAL,HIGH,"Current US store exact IAP + company H1 context + global series separated","US monthly D/IAP/DAU/payer/source mix missing","Acquire US provider/MMP cut"
Art/Visual,PARTIAL,HIGH,"Current store frames + social/build/identity production read","Annotated current Sep raw pack missing","Archive current frames"
Core Gameplay,PARTIAL,HIGH,"Six-hobby/build/identity/social core classified","US first-30s timing missing","Record clean install"
FTUE,PARTIAL,HIGH,"10-15m Builder Tablet + D3-D7 hobby gates","Exact device timestamps/cohort distribution missing","Capture US mobile session"
Progression/Meta/Side,PARTIAL,HIGH,"Co-build, Party UGC, styling, per-friend state, exhibition/collab layers mapped","Reach/participation missing","Map live account reach"
Economy/Monetization,PARTIAL,HIGH,"US Diamond ladder + memberships + event premium architecture","Odds/pity/exposure/segments/payer conversion missing","Capture live monetization"
LiveOps/Event Calendar,PARTIAL,HIGH,"Historical IP seasons + current Sep multi-state stack + client/service cadence connected","US participation/event economics/full-year archive incomplete","Recover event history"
UA/Creative/Promotion,PARTIAL,HIGH,"Launch ~8K + steady-state 1378 creative / 2807 campaign portfolio","Spend/CTR/CVR/CPI/ROAS/source mix missing","Acquire MMP/network economics"
Reviews/Versions,PARTIAL,HIGH,"US crash/update + monetization trust signals + service/client cadence","Exact review-by-version corpus missing","Acquire review export"
Trend/Cause,PARTIAL,HIGH,"Jan launch E1; Feb/Jul revenue E2 candidates; no cross-scope RPD","US source/payer/event cohorts missing","Hold causal language"
Production Burden,PARTIAL,HIGH,"Package/hobby/catalog/social-state/QA/creative burden separated","Team/asset-hours/support/server cost missing","Recover production inputs"
Benchmark-by-Objective,DONE,HIGH,"Heartopia social/state/creative objectives added","Impact telemetry incomplete","Maintain by objective"
Ops Cat Product Translation,PARTIAL,HIGH,"Social-state budget + event-state complexity + client/config split + build-capacity guardrail","Own state/performance data missing","Implement after ownership proof"
US/Global,PARTIAL,HIGH,"US store/reviews/IAP separate from global events/company/creative evidence","US monthly title economics/source mix missing","Maintain labels"
Evidence/Status Audit,DONE,HIGH,"Cross-scope RPD explicitly prohibited","Material gaps remain","Update next release"
