Requirement,Status,Coverage_Maturity,File,Coverage,Limitation,Next_Action,Evidence_Needed
Market/KPI,PARTIAL,HIGH,09_reports/SIMS_FULL_COMPETITOR_INTELLIGENCE_ATLAS_v4.2_2026-09-26.html,"Existing Priority8 US KPI retained; Office Cat current US store remains 4.8/73K","No mature Sep US monthly D/IAP/source mix","Refresh provider/MMP after month close","US Sep D/IAP + source mix"
Art/Visual,PARTIAL,HIGH,02_art_style/PRIORITY8_CURRENT_VISUAL_FRAME_INDEX_v0.4_2026-09-25.csv,"Existing visual benchmark retained; event lifecycle shows recurring seasonal reskins over stable office grammar","No newly archived annotated Office Cat event art set","Capture seasonal/current event screens","3–8 annotated event screens"
Core Gameplay,PARTIAL,HIGH,03_gameplay/PRIORITY8_TIMED_CORE_PROMISE_EVIDENCE_v0.3_2026-09-25.csv,"Office ownership/idle-management core retained","Exact current first-30s clean-install capture incomplete","Capture current build","T+0→30s"
FTUE,PARTIAL,MEDIUM-HIGH,03_gameplay/PRIORITY8_CURRENT_ONBOARDING_PROGRESSION_RECOVERY_v0.5_2026-09-25.csv,"Existing onboarding evidence retained","Current exact T+0→30m incomplete","Capture timed session","T+0/T+5/T+10/T+30m"
Progression/Meta/Side,PARTIAL,HIGH,06_ua_liveops/OFFICE_CAT_NAMED_EVENT_LIFECYCLE_v0.2_2026-09-26.csv,"Adds seasonal wrappers, exchange, mining, ranking and area/challenge layers","Participation and unlock/eligibility mostly unavailable","Trace live event entry/eligibility in build","Unlock + participation"
Economy/Monetization,PARTIAL,HIGH,06_ua_liveops/OFFICE_CAT_NAMED_EVENT_LIFECYCLE_v0.2_2026-09-26.csv,"Adds Black Friday offer, Payment Challenge and event-reward fairness risk to existing IAP ladder","No offer trigger/segment/frequency/conversion","Capture current offer/challenge route","Trigger + segment + frequency + conversion"
LiveOps/Event Calendar,PARTIAL,HIGH,06_ua_liveops/OFFICE_CAT_NAMED_EVENT_LIFECYCLE_v0.2_2026-09-26.csv,"Adds 12 named/current/historical Office Cat event instances and reusable-engine mapping","Version history is not a complete event calendar; many exact end dates/participation remain TBD","Recover missing exact windows and event KPI","Start/end + participation + event economics"
UA/Creative/Promotion,PARTIAL,HIGH,06_ua_liveops/PRIORITY8_UA_CREATIVE_PERFORMANCE_RECOVERY_v0.4_2026-09-25.csv,"Existing UA evidence retained","Office Cat paid/organic/source mix and spend/CPI/CTR/CVR missing","Acquire current attribution/provider data","US paid/organic/web + spend/CPI/CTR/CVR"
Reviews/Versions,PARTIAL,HIGH,06_ua_liveops/OFFICE_CAT_NAMED_EVENT_LIFECYCLE_v0.2_2026-09-26.csv,"Adds exact event/version-note chain and current event-monetization review warning","Current exact review-by-version corpus still incomplete","Acquire review export","Timestamp + rating + exact version + review ID"
Trend/Cause,PARTIAL,HIGH,09_reports/SIMS_FULL_COMPETITOR_INTELLIGENCE_ATLAS_v4.2_2026-09-26.html,"LiveOps/event crosscheck inventory materially expanded","No matched Sep US monthly KPI anomaly + source/payer/event cohort evidence; no new E-level","Keep descriptive","US KPI + source/event/review alignment"
Production Burden,PARTIAL,HIGH,06_ua_liveops/OFFICE_CAT_EVENT_ENGINE_REUSE_MAP_v0.1_2026-09-26.csv,"Separates reusable seasonal/exchange/ranking engines from high-burden area expansion + challenge","Exact asset-hours/team/support/outsourcing remain unavailable","Track per-engine production burden","Asset-hours + config-hours + QA/support"
Benchmark-by-Objective,DONE,HIGH,09_reports/BENCHMARK_BY_OBJECTIVE_v3.4_2026-09-26.csv,"Adds seasonal reuse, exchange backbone, ranking attachment and fairness-guardrail objectives","Impact telemetry incomplete","Maintain by objective","Event participation + monetization + support"
Ops Cat Product Translation,PARTIAL,HIGH,09_reports/SIMS_FULL_COMPETITOR_INTELLIGENCE_ATLAS_v4.2_2026-09-26.html,"Strengthens Quest/Currency/Exchange as P0 reusable engine; ranks ranking/area-challenge later","Needs own event throughput and participation data","Prototype one reusable event engine before concurrency","Asset/config hours + entry/completion + D7"
US/Global,PARTIAL,HIGH,09_reports/SIMS_FULL_COMPETITOR_INTELLIGENCE_ATLAS_v4.2_2026-09-26.html,"Office Cat event/version evidence is US App Store sourced; cross-title Global evidence remains separate","Sep US title economics/source mix missing","Keep scope labels explicit","US provider/MMP refresh"
Evidence/Status Audit,DONE,HIGH,09_reports/STATUS_AUDIT_v4.2_2026-09-26.csv,"Evidence taxonomy retained; no fabricated dates/participation","Material gaps remain","Update each release","Source-level evidence"
