Requirement,Status,Coverage_Maturity,File,Coverage,Limitation,Next_Action,Evidence_Needed
Market/KPI,PARTIAL,HIGH,01_watchlist/TOWNSHIP_HAYDAY_US_AUG2026_PLATFORM_KPI_v0.1_2026-09-26.csv,"Adds fresh US Aug iOS + Google Play rows for Township and Hay Day, plus calculated combined Jul/Aug baselines","Still no same fresh matched-US rows for all Priority8; Sep incomplete","Continue same-provider platform recovery","US store-level D/IAP for remaining titles"
Art/Visual,PARTIAL,MEDIUM-HIGH,02_art_style/PRIORITY8_CURRENT_VISUAL_FRAME_INDEX_v0.4_2026-09-25.csv,"Existing visual benchmark retained","Four titles still lack archived annotated binaries","Capture current binaries","Official screenshots + annotations"
Core Gameplay,PARTIAL,MEDIUM-HIGH,03_gameplay/PRIORITY8_TIMED_CORE_PROMISE_EVIDENCE_v0.3_2026-09-25.csv,"Existing core evidence retained","Exact current first-30s incomplete for most","Timestamp current builds","Device/video first 30s"
FTUE,PARTIAL,MEDIUM-HIGH,03_gameplay/BIG_FARM_HOMESTEAD_FTUE_MONETIZATION_SEQUENCE_v0.3_2026-09-25.csv,"Existing level-gated onboarding evidence retained","Minute-level and cross-title maps incomplete","Capture device sessions","T+time + first offer/ad"
Progression/Meta/Side,PARTIAL,HIGH,06_ua_liveops/TOWNSHIP_HAYDAY_PUBLIC_LIVEOPS_RECOVERY_v0.2_2026-09-25.csv,"Township/Hay Day system and current LiveOps evidence retained","Participation/unlock distributions unavailable","Direct-capture progression and event entry","Unlock + participation"
Economy/Monetization,PARTIAL,HIGH,01_watchlist/TOWNSHIP_HAYDAY_US_AUG2026_PLATFORM_KPI_v0.1_2026-09-26.csv,"Adds platform monetization divergence; Township GP revenue↑ while acquisition↓; Hay Day platform RPD split","No payer count/rate, ARPDAU/ARPPU, offer exposure or source mix","Recover payer and offer metrics","Payer rate + offer/event exposure"
LiveOps/Event Calendar,PARTIAL,HIGH,09_reports/TOWNSHIP_HAYDAY_PLATFORM_DIVERGENCE_ANALYSIS_v0.1_2026-09-26.csv,"Crosschecks Aug Township multi-event stack and Hay Day content against platform KPI","Participation, event revenue and asset-hours absent","Align event participation to platform KPI","Entry/completion/revenue + asset-hours"
UA/Creative/Promotion,PARTIAL,HIGH,06_ua_liveops/PRIORITY8_PUBLIC_AD_CHANNEL_ARCHITECTURE_v0.6_2026-09-25.csv,"Existing observed channel architecture retained; platform KPI divergence clarifies attribution priority","Paid/organic/web source mix and spend/CPI/CTR/CVR still missing","Acquire platform MMP/source data","Paid/organic/web + spend/CPI/CTR/CVR"
Reviews/Versions,PARTIAL,HIGH,09_reports/CURRENT_VERSION_WINDOW_REVIEW_RECOVERY_v0.4_2026-09-25.csv,"Existing current review/version work retained","Complete exact review-version corpus missing","Recheck mature windows","Timestamp + rating + exact version + review ID"
Trend/Cause,PARTIAL,HIGH,09_reports/TOWNSHIP_HAYDAY_PLATFORM_DIVERGENCE_ANALYSIS_v0.1_2026-09-26.csv,"Township platform divergence logged at E1; Hay Day Aug retained as E0 baseline/counterexample","No source mix/payer/event participation for causal promotion","Keep Township E1 until independent aligned evidence","Source mix + payer/event cohorts"
Production Burden,PARTIAL,HIGH,09_reports/PRIORITY8_PRODUCTION_ENVELOPE_v0.8_2026-09-25.csv,"Existing production envelopes retained","Exact staffing/asset-hours/QA ratios missing","Capture staffing/workflow","Headcount + asset-hours + QA/outsource"
Benchmark-by-Objective,DONE,HIGH,09_reports/BENCHMARK_BY_OBJECTIVE_v2.8_2026-09-26.csv,"Adds platform-split KPI, acquisition-revenue decoupling, stable LiveOps counterexample and platform-mix economics","Underlying source/payer telemetry incomplete","Maintain by objective","Source mix + payer/event metrics"
Ops Cat Product Translation,PARTIAL,HIGH,09_reports/SIMS_FULL_COMPETITOR_INTELLIGENCE_ATLAS_v3.6_2026-09-26.html,"Adds platform-specific launch/scale gate rule and combined-RPD guardrail","Needs own iOS/Android attribution + payer cohorts","Split launch dashboard and budgets by platform","Platform CPI/CVR/D1/D7/payer/ROAS"
US/Global,PARTIAL,HIGH,09_reports/SIMS_FULL_COMPETITOR_INTELLIGENCE_ATLAS_v3.6_2026-09-26.html,"US-first strengthened with fresh US iOS/Google Play KPI for Township/Hay Day","Remaining Priority8 same-scope US platform rows incomplete","Continue US store-level recovery","US iOS/GP matched rows"
Evidence/Status Audit,DONE,HIGH,09_reports/STATUS_AUDIT_v3.6_2026-09-26.csv,"Formal taxonomy compliant","Material gaps remain","Update every release","Source-level evidence"
