Requirement,Status,File,Coverage,Limitation,Next Action,Evidence Needed
Market/KPI,PARTIAL,01_watchlist/GOSSIP_HARBOR_US_AUG2026_MATCHED_KPI_v0.1_2026-09-26.csv,"Matched US both-store Gossip Harbor Aug downloads/revenue + Jul derived baseline","Fresh matched-US rows incomplete for other Priority8","Refresh after month close","Same-market monthly D/IAP"
Art/Visual,PARTIAL,02_art_style/PRIORITY8_CURRENT_VISUAL_FRAME_INDEX_v0.4_2026-09-25.csv,"Priority8 visual-role coverage retained","Four titles lack archived annotated binaries","Capture current binaries","Official screenshots + annotations"
Core Gameplay,PARTIAL,03_gameplay/PRIORITY8_TIMED_CORE_PROMISE_EVIDENCE_v0.3_2026-09-25.csv,"Priority loops + selected timed evidence","Exact current first-30s incomplete for most","Timestamp current builds","Current device/video first 30s"
FTUE,PARTIAL,03_gameplay/BIG_FARM_HOMESTEAD_FTUE_MONETIZATION_SEQUENCE_v0.3_2026-09-25.csv,"Big Farm exposure sequence retained","Minute-level and cross-title maps incomplete","Capture device sessions","T+time + first offer/ad"
Progression/Meta/Side,PARTIAL,06_ua_liveops/GOSSIP_HARBOR_VERSION_LIVEOPS_CADENCE_v0.1_2026-09-26.csv,"Weekly chapter + reusable themed-event wrapper pattern","Unlock gates/participation unavailable","Map live route","Unlock + participation"
Economy/Monetization,PARTIAL,01_watchlist/GOSSIP_HARBOR_US_AUG2026_MATCHED_KPI_v0.1_2026-09-26.csv,"Revenue-vs-acquisition decoupling added","No payer/offer/source telemetry","Recover payer/event/offer data","Payer rate + event revenue + offer exposure"
LiveOps/Event Calendar,PARTIAL,06_ua_liveops/GOSSIP_HARBOR_VERSION_LIVEOPS_CADENCE_v0.1_2026-09-26.csv,"17-point Mar-Sep version/event cadence","Exact event start-end/participation incomplete","Capture live participation","Event windows + participation + asset-hours"
UA/Creative/Promotion,PARTIAL,06_ua_liveops/PRIORITY8_PUBLIC_AD_CHANNEL_ARCHITECTURE_v0.6_2026-09-25.csv,"Existing channel/creative evidence retained","Paid/organic/source mix and spend/CPI/CTR/CVR missing","Acquire attribution","Paid/organic/web + spend/CPI/CTR/CVR"
Reviews/Versions,PARTIAL,09_reports/GOSSIP_HARBOR_TREND_CAUSE_ANOMALY_v0.1_2026-09-26.csv,"Sep16 quality window + App Store version timeline","Exact review-version IDs incomplete","Acquire exact-version review export","Timestamp + rating + version + review ID"
Trend/Cause,PARTIAL,09_reports/GOSSIP_HARBOR_TREND_CAUSE_ANOMALY_v0.1_2026-09-26.csv,"Aug US installs down/revenue up anomaly documented at E1","No source mix or payer/event cohort","Keep E1","Second aligned evidence class"
Production Burden,PARTIAL,06_ua_liveops/GOSSIP_HARBOR_VERSION_LIVEOPS_CADENCE_v0.1_2026-09-26.csv,"Weekly episode + 13.5d median visible version gap","Staffing/asset-hours unknown","Recover pipeline workflow","Narrative/localization/QA staffing"
Benchmark-by-Objective,DONE,09_reports/BENCHMARK_BY_OBJECTIVE_v2.6_2026-09-26.csv,"US efficiency, event-engine, cadence and quality objectives added","Underlying payer/source telemetry incomplete","Maintain by objective","Payer/source/event metrics"
Ops Cat Product Translation,PARTIAL,09_reports/SIMS_FULL_COMPETITOR_INTELLIGENCE_ATLAS_v3.4_2026-09-26.html,"Reusable narrative-event test + revenue/install decoupling rule","Needs owned event/payer telemetry","Prototype reskinnable event engine","Entry/completion + D7/D30 + payer/IAA"
US/Global,PARTIAL,09_reports/SIMS_FULL_COMPETITOR_INTELLIGENCE_ATLAS_v3.4_2026-09-26.html,"US-first strengthened with matched Gossip Harbor evidence","Other fresh US rows incomplete","Keep scopes explicit","Same-market refresh"
Evidence/Status Audit,DONE,09_reports/STATUS_AUDIT_v3.4_2026-09-26.csv,"Formal DONE/PARTIAL audit present","Material gaps remain","Update every release","Source-level evidence"
