requirement,status,file,coverage,limitation,next_action,evidence_needed
Market/KPI,PARTIAL+,01_watchlist/DIANDIAN_19_GAMES_MONTHLY_2025-09_2026-08.csv,"19-game 12M + Priority8 long history","US-only monthly KPI/source mix missing","Normalize US-only monthly KPI when source arrives","US downloads/IAP/platform/source mix"
Art/Visual,PARTIAL+,02_art_style/FOCUS4_ANNOTATED_VISUAL_EVIDENCE_v0.2_2026-09-25.csv,"12 official storefront frames annotated","Binaries not archived; broader gameplay/event frames missing","Archive selected frames and add gameplay/event/store evidence","3-8 stored annotated screenshots/title"
Core Gameplay,PARTIAL+,09_reports/FOCUS_PRODUCT_CARDS_US_FIRST_v0.2_2026-09-24.md,"Priority loops classified","First-30-second feel not recorded for all focus games","Normalize hands-on/video first-30-second observations","Video/device capture"
FTUE,PARTIAL,09_reports/FOCUS4_PROGRESSION_FTUE_EVIDENCE_v0.2_2026-09-24.md,"Public routes and some gates located","Exact T+0→30m and D1/D3/D7/D14 incomplete","Create timed FTUE rows","Timestamped video/device capture"
Progression/Meta/Side,PARTIAL+,09_reports/FOCUS4_PROGRESS_UNLOCK_MATRIX_v0.1_2026-09-24.csv,"Taxonomy + selected unlock gates","External-guide gates not all first-party validated","Validate gates and complete 40-system matrix","First-party/gameplay evidence"
Economy/Monetization,PARTIAL+,09_reports/FOCUS_PRODUCT_CARDS_US_FIRST_v0.2_2026-09-24.md,"Offer/pass/IAA/D2C surfaces mapped","Offer trigger/segmentation/probability/cohort value missing","Capture offers by progression state","Offer screenshots + prices + trigger state"
LiveOps/Event Calendar,PARTIAL+,06_ua_liveops/FOCUS_EVENT_CALENDAR_US_IOS_v0.2_2026-09-24.csv,"Current/recent event structures and cadence","Participation/full history/asset-hours missing","Extend historical calendar and estimate reuse ratio","Historical event sources + participation"
UA/Creative/Promotion,PARTIAL++,06_ua_liveops/CREATIVE_PRODUCT_TRUTH_MATRIX_v0.1_2026-09-25.csv,"ADX Priority8 + promise-match audit","Spend/CTR/CVR/CPI and 30/90/180 time series missing","Ingest ADX historical rows into schema","Creative history + spend/impression proxy"
Reviews/Versions,PARTIAL+,09_reports/FOCUS_VERSION_CADENCE_US_IOS_v0.1_2026-09-24.csv,"Version cadence + current issue signals","Full review-by-version series missing","Build version-aligned review timeline","Review timestamps/version IDs"
Trend/Cause,DONE/PARTIAL,09_reports/TREND_CAUSE_ADX_CROSSCHECK_v0.3_2026-09-24.md,"19-game trends + E0/E1 crosschecks/counterevidence","Matched US source mix/attribution missing","Do not upgrade evidence until matched inputs arrive","US source mix/spend/attribution"
Production Burden,PARTIAL+,09_reports/PRODUCTION_BURDEN_MATRIX_v0.2_2026-09-24.csv,"8-product burden + visual modularity evidence","Public team size/time-to-content unavailable","Add asset-hours/time-to-content when observable","Team size + release production data"
Benchmark-by-Objective,DONE/PARTIAL,09_reports/BENCHMARK_BY_OBJECTIVE_v0.7_2026-09-25.csv,"Objective-specific product/art/creative leaders","US acquisition KPI missing","Use own tests for launch gates","US KPI + prototype tests"
Ops Cat Product Translation,DONE/PARTIAL,05_product_strategy/OPS_CAT_ROADMAP_0_18M_v0.1.md,"Core A/B/C + visual A/B/C + guardrails","Own prototype data unavailable","Run vertical-slice tests","CTR/CVR/tutorial/D1/D3/D7/asset-hours"
Evidence/Status Audit,DONE,09_reports/STATUS_AUDIT_v1.0_2026-09-25.csv,"Parent-skill requirements audited","Inherits source gaps above","Refresh every research round","Missing fields above"
