requirement,status,file,coverage,limitation,next_action,evidence_needed
Market/KPI,PARTIAL+,09_reports/SIMS_FULL_COMPETITOR_INTELLIGENCE_ATLAS_v1.7_OFFLINE_SAFE_2026-09-25.html,"19-game normalized lifecycle + current US storefront context","Current US-only monthly downloads/IAP/source mix incomplete","Acquire current US-only KPI","US downloads/IAP by month + platform"
Art/Visual,PARTIAL+,02_art_style/FOCUS4_ANNOTATED_VISUAL_EVIDENCE_v0.2_2026-09-25.csv,"Focus4 annotated storefront/media evidence","Broader gameplay/event frames and binaries incomplete","Capture/store current gameplay-event frames","3-8+ current frames/title"
Core Gameplay,PARTIAL+,09_reports/SIMS_FULL_COMPETITOR_INTELLIGENCE_ATLAS_v1.7_OFFLINE_SAFE_2026-09-25.html,"Priority loops classified","Current first-30s recordings incomplete","Normalize current first-30s","Current video/device captures"
FTUE,PARTIAL+,09_reports/PRIORITY8_FTUE_NEW_PLAYER_COVERAGE_MATRIX_v1.0_2026-09-25.csv,"Priority8 timed/sequence/gate coverage","Only My Perfect Hotel has minute-level historical capture","Timestamp current Priority8 routes","T+0->30m + D1/D3/D7/D14"
Progression/Meta/Side,PARTIAL+,09_reports/SIMS_FULL_COMPETITOR_INTELLIGENCE_ATLAS_v1.7_OFFLINE_SAFE_2026-09-25.html,"Taxonomy + known gates","Some gates guide-derived","Direct-validate key gates","Current account/video evidence"
Economy/Monetization,PARTIAL+,09_reports/SIMS_FULL_COMPETITOR_INTELLIGENCE_ATLAS_v1.7_OFFLINE_SAFE_2026-09-25.html,"Storefront + review signals","Offer triggers/segmentation/probability incomplete","Capture in-game offers by gate","Trigger/price/duration/frequency"
LiveOps/Event Calendar,PARTIAL+,09_reports/SIMS_FULL_COMPETITOR_INTELLIGENCE_ATLAS_v1.7_OFFLINE_SAFE_2026-09-25.html,"Current event/version architecture + selected campaigns","Participation/full historical overlap incomplete","Normalize event calendar","Start/end/overlap/asset-cost/participation"
UA/Creative/Promotion,PARTIAL++,06_ua_liveops/DATAEYE_PRIORITY8_ADX_OBSERVATIONS_2026-09-24.csv,"ADX + truthfulness audit + current external 30d Cozy Florist throughput","Spend/CTR/CVR/CPI and normalized 30/90/180 series incomplete","Build Priority8 creative time series","Spend/impression proxy + concept dates"
Reviews/Versions,PARTIAL+,09_reports/FOCUS4_CURRENT_REVIEW_LIVEOPS_AUDIT_v0.1_2026-09-25.md,"Current issues + version cadence","Full review-by-version corpus incomplete","Normalize reviews by version","Timestamp/rating/version/theme"
Trend/Cause,DONE/PARTIAL,09_reports/SIMS_19_GAME_COMPETITOR_TREND_CAUSE_ANALYSIS_v1.0_2026-09-24.md,"E0/E1 bounded crosschecks","Matched US source mix blocks E2+ for key waves","Add source mix and campaign timing","US paid/organic/web shares"
Production Burden,PARTIAL++,09_reports/PRIORITY8_PRODUCTION_BURDEN_EVIDENCE_v0.3_2026-09-25.csv,"Public historical team counts for selected titles + current process/reuse/creative-throughput evidence","Current exact game-team size/time-to-content missing for most titles","Capture production workflow evidence","Team size by title + asset-hours + time-to-event/area"
Benchmark-by-Objective,DONE,09_reports/BENCHMARK_BY_OBJECTIVE_v0.9_2026-09-25.csv,"Objective-specific benchmark set including production objectives","US acquisition KPI incomplete","Maintain by objective","US KPI + production telemetry"
Ops Cat Product Translation,DONE/PARTIAL,09_reports/SIMS_FULL_COMPETITOR_INTELLIGENCE_ATLAS_v1.7_OFFLINE_SAFE_2026-09-25.html,"Core A/B/C + FTUE + production guardrails","Targets require own prototype telemetry","Run vertical-slice tests","Asset-hours + tutorial + D1/D7"
US/Global,DONE/PARTIAL,09_reports/SIMS_FULL_COMPETITOR_INTELLIGENCE_ATLAS_v1.7_OFFLINE_SAFE_2026-09-25.html,"US-first + explicit Global-secondary context","Market-specific KPI/packages incomplete across all titles","Collect per-market evidence","US primary + selected JP/EU secondary"
Evidence/Status Audit,DONE,09_reports/STATUS_AUDIT_v1.7_2026-09-25.csv,"Explicit coverage and gaps","Material gaps remain","Update every release","Source-level evidence"
