Requirement,Status,Coverage_Maturity,Coverage,Limitation,Next_Action
Market/KPI,PARTIAL,HIGH,"Current US store + global-secondary Android + monthly same-scope series","US monthly D/IAP/DAU/payer missing","Acquire US provider/MMP cut"
Art/Visual,PARTIAL,HIGH,"Current store visual grammar and transformation promise","Annotated raw screen pack missing","Archive current US screenshots"
Core Gameplay,PARTIAL,HIGH,"Garden/shop/collection/social core classified","Current first-30s timing missing","Capture clean install"
FTUE,PARTIAL,MEDIUM-HIGH,"Public walkthrough route + Lv10/Lv31 progression bounds","Exact T+0→30m missing","Timestamp route"
Progression/Meta/Side,PARTIAL,HIGH,"Boutique, recurring flower optimization, late advancement and story layer mapped","Unlock reach/participation missing","Validate current build"
Economy/Monetization,PARTIAL,HIGH,"Current US price ladder + ads/IAP + player fairness warnings","Offer contents/triggers/segments/frequency/conversion missing","Capture live monetization routes"
LiveOps/Event Calendar,PARTIAL,HIGH,"US Story Series + global event + weekly CRM + Japan launch + physical reward mapped","Historical calendar/participation incomplete","Recover event history"
UA/Creative/Promotion,PARTIAL,HIGH,"2,291 creatives / 6,939 plans / 48.7% reuse; US largest exclusive pool; 84% video","Spend/CTR/CVR/CPI/ROAS/source mix missing","Acquire MMP/network economics"
Reviews/Versions,PARTIAL,HIGH,"Current fairness/event-overload/promise warnings + high-frequency version cadence","Exact review-by-version corpus missing","Acquire review export"
Trend/Cause,PARTIAL,HIGH,"Three E1 candidates with independent market/creative crosschecks","Monthly data not US; aligned source/payer/event cohorts missing","Hold at E1"
Production Burden,PARTIAL,HIGH,"Release + creative + localization + community + fulfillment burden separated","Team/asset-hours/QA/support staffing missing","Recover production inputs"
Benchmark-by-Objective,DONE,HIGH,"Cozy objectives added","Impact telemetry incomplete","Maintain by objective"
Ops Cat Product Translation,PARTIAL,HIGH,"Emotional-promise KPI + creative-template reuse + market-launch package","Own performance/support data missing","Implement and measure"
US/Global,PARTIAL,HIGH,"US evidence kept separate from global/Japan/community evidence","US monthly economics/source mix missing","Maintain scope labels"
Evidence/Status Audit,DONE,HIGH,"Evidence taxonomy preserved","Material gaps remain","Update next release"
