Requirement,Status,Coverage_Maturity,File,Coverage,Limitation,Next_Action,Evidence_Needed
Market/KPI,PARTIAL,HIGH,01_watchlist/OFFICE_CAT_LEAN_STUDIO_US_VALUE_BENCHMARK_v0.1_2026-09-26.csv,Historical company/Sensor Tower scale DAU and US value-share evidence,No fresh 2026 US monthly downloads/revenue or payer/DAU,Recover current same-scope US title KPI,2026 US D/IAP + DAU/payer
Art/Visual,PARTIAL,MEDIUM-HIGH,02_art_style/PRIORITY8_CURRENT_VISUAL_FRAME_INDEX_v0.4_2026-09-25.csv,Existing Priority8 visual-role coverage,Archived annotated binaries incomplete,Capture current binaries,Official screenshots + annotations
Core Gameplay,PARTIAL,MEDIUM-HIGH,03_gameplay/PRIORITY8_TIMED_CORE_PROMISE_EVIDENCE_v0.3_2026-09-25.csv,Office core / idle-management positioning retained,Exact current first-30s incomplete,Timestamp current build,Device/video first 30s
FTUE,PARTIAL,MEDIUM-HIGH,03_gameplay/PRIORITY8_CURRENT_ONBOARDING_PROGRESSION_RECOVERY_v0.5_2026-09-25.csv,Existing onboarding/progression coverage,Exact T+0→30m + D1/D3/D7/D14 incomplete,Capture current session,Timed unlocks
Progression/Meta/Side,PARTIAL,HIGH,06_ua_liveops/OFFICE_CAT_CURRENT_LIVEOPS_RELEASE_QA_v0.1_2026-09-26.csv,City7 + Apple Orchard / Cattery + ranking layer,Unlock gates and participation unavailable,Capture live account route,Unlock + participation + challenge rules
Economy/Monetization,PARTIAL,HIGH,06_ua_liveops/OFFICE_CAT_CURRENT_LIVEOPS_RELEASE_QA_v0.1_2026-09-26.csv,Payment Challenge + public US IAP ladder,Trigger segmentation frequency and conversion unavailable,Capture in-game offer sequence,Trigger/segment/frequency/conversion
LiveOps/Event Calendar,PARTIAL,HIGH,06_ua_liveops/OFFICE_CAT_CURRENT_LIVEOPS_RELEASE_QA_v0.1_2026-09-26.csv,Two current US store-event surfaces + Aug content/hotfix train,Exact event start/end and participation missing,Recover event windows,Start/end + participation
UA/Creative/Promotion,PARTIAL,HIGH,06_ua_liveops/PRIORITY8_PUBLIC_AD_CHANNEL_ARCHITECTURE_v0.6_2026-09-25.csv,Existing UA evidence + historical US value skew,Current paid/organic/source mix and spend unavailable,Acquire provider/MMP attribution,Paid/organic/web + spend/CPI/CTR/CVR
Reviews/Versions,PARTIAL,HIGH,06_ua_liveops/OFFICE_CAT_CURRENT_LIVEOPS_RELEASE_QA_v0.1_2026-09-26.csv,Current US store rating + precise Aug 1.0.78→1.0.80 train,Exact review-version corpus incomplete,Recheck by exact version,Timestamp + rating + version + review ID
Trend/Cause,PARTIAL,HIGH,01_watchlist/OFFICE_CAT_LEAN_STUDIO_US_VALUE_BENCHMARK_v0.1_2026-09-26.csv,Historical US value over-index documented; no new E-level,Fresh US KPI/source mix absent,Keep historical evidence out of current causality,2026 KPI + source/event/review alignment
Production Burden,PARTIAL,HIGH,01_watchlist/OFFICE_CAT_LEAN_STUDIO_US_VALUE_BENCHMARK_v0.1_2026-09-26.csv,8-developer initial-team evidence + hotfix/state-QA burden,Ongoing team size outsourcing asset-hours and support staffing unknown,Separate initial dev team from live-service org,Current headcount + asset-hours + QA/support
Benchmark-by-Objective,DONE,HIGH,09_reports/BENCHMARK_BY_OBJECTIVE_v2.9_2026-09-26.csv,Lean-studio scale US value release coupling hotfix capacity and side-event objectives,Current 2026 Office Cat economics incomplete,Maintain by objective,Fresh US title KPI + event telemetry
Ops Cat Product Translation,PARTIAL,HIGH,09_reports/SIMS_FULL_COMPETITOR_INTELLIGENCE_ATLAS_v3.7_2026-09-26.html,Lean-build benchmark release-QA gate and side-event wrapper rule,Needs own team throughput/live QA telemetry,Instrument save/ranking/event-state QA,Escaped defects + event entry + support load
US/Global,PARTIAL,HIGH,09_reports/SIMS_FULL_COMPETITOR_INTELLIGENCE_ATLAS_v3.7_2026-09-26.html,Current US store surface + historical US revenue over-index,Fresh 2026 US title KPI and source mix unavailable,Keep historical/current scopes separate,2026 US monthly KPI + attribution
Evidence/Status Audit,DONE,HIGH,09_reports/STATUS_AUDIT_v3.7_2026-09-26.csv,Formal taxonomy compliant,Material gaps remain,Update every release,Source-level evidence
