Requirement,Status,Coverage_Maturity,File,Coverage,Limitation,Next_Action,Evidence_Needed
Market/KPI,PARTIAL,HIGH,06_ua_liveops/BIG_FARM_HOMESTEAD_US_CURRENT_STORE_MONETIZATION_v0.1_2026-09-26.csv,"Current US 4.7/3.1K/#52 Family/450.7MB; global Android 3.67M cumulative context; 19-title monthly same-scope series retained","No current US-only monthly Downloads/IAP or source mix","Acquire US provider/MMP cut","US monthly D/IAP + source mix"
Art/Visual,PARTIAL,HIGH,09_reports/SIMS_FULL_COMPETITOR_INTELLIGENCE_ATLAS_v4.4_2026-09-26.html,"Adds first-party 3D pipeline evidence: seamless terrain, URP tiers, shadow proxies, dynamic resolution, small lived-in details","No 3–8 annotated current US screenshot pack saved in repo in this run","Archive current store/Unity frames with annotations","Annotated current screenshots"
Core Gameplay,PARTIAL,HIGH,06_ua_liveops/BIG_FARM_HOMESTEAD_US_CURRENT_STORE_MONETIZATION_v0.1_2026-09-26.csv,"Production/harvest/craft/order/upgrade loop + chapter/town rebuild context","Exact current US first-30s device timing absent","Capture clean install","T+0→30s"
FTUE,PARTIAL,MEDIUM-HIGH,03_gameplay/PRIORITY8_CURRENT_ONBOARDING_PROGRESSION_RECOVERY_v0.5_2026-09-25.csv,"Current guide confirms linear harvest→sell→Cannery→Market/Feed Mill progression","Minute-level current device timestamps absent","Record T+0→30m","T+0/T+5/T+10/T+30m"
Progression/Meta/Side,PARTIAL,HIGH,06_ua_liveops/BIG_FARM_HOMESTEAD_NAMED_EVENT_LIFECYCLE_v0.2_2026-09-26.csv,"Adds chapter progression, three farms, collection, tournaments, pass, returning events and guild layers","Exact unlock/participation distributions missing","Map current live account progression","Unlock + participation"
Economy/Monetization,PARTIAL,HIGH,06_ua_liveops/BIG_FARM_HOMESTEAD_US_CURRENT_STORE_MONETIZATION_v0.1_2026-09-26.csv,"Adds current US $0.99→$49.99 IAP ladder, ads, pass/season/offers and resource-burden review signal","No offer trigger/segment/frequency/conversion; no IAA frequency","Capture in-game monetization sequence","Trigger + segment + frequency + conversion"
LiveOps/Event Calendar,PARTIAL,HIGH,06_ua_liveops/BIG_FARM_HOMESTEAD_NAMED_EVENT_LIFECYCLE_v0.2_2026-09-26.csv,"Named lifecycle expanded across tournament/pass/collection/order/seasonal/CRM engines; Priority8 v0.3 remains canonical; v0.4 Big Farm delta adds the new named entries","Still not exhaustive; exact dates/participation missing for several events","Continue first-party calendar recovery","Start/end + overlap + participation"
UA/Creative/Promotion,PARTIAL,HIGH,06_ua_liveops/BIG_FARM_FIRST_PARTY_SOCIAL_CRM_CADENCE_v0.4_2026-09-25.csv,"Adds community-voted pass theme, weekly/milestone vouchers and lifestyle content context","US paid/organic/source mix + spend/CPI/CTR/CVR unavailable","Acquire attribution + ad creative performance","Paid/organic/web + spend/CPI/CTR/CVR"
Reviews/Versions,PARTIAL,HIGH,06_ua_liveops/BIG_FARM_HOMESTEAD_US_CURRENT_STORE_MONETIZATION_v0.1_2026-09-26.csv,"Current US review themes crosschecked against Chapter11/event/version history","No exhaustive timestamp+rating+exact-version review corpus","Acquire review export","Timestamp + rating + exact version + review ID"
Trend/Cause,PARTIAL,HIGH,09_reports/BIG_FARM_HOMESTEAD_TREND_CAUSE_E1_v0.1_2026-09-26.csv,"May→Jul downloads -50% while revenue -12%; first-party Q2 UA-normalization crosscheck supports E1 acquisition-normalization hypothesis","Scope is Diandian collection/global-secondary, not US; payer/source/event cohorts absent","Hold at E1","US source mix + payer/event cohorts"
Production Burden,PARTIAL,HIGH,06_ua_liveops/BIG_FARM_HOMESTEAD_TECH_PRODUCTION_PIPELINE_v0.1_2026-09-26.csv,"Adds under-one-year delivery via reuse, shared code, ECS/Timeline/Cinemachine/URP/Addressables and remote seasonal assets","Exact title team, asset-hours, event-hours, QA/support staffing and CDN cost unavailable","Recover title-level production inputs","Headcount + asset-hours + config/QA/support"
Benchmark-by-Objective,DONE,HIGH,09_reports/BENCHMARK_BY_OBJECTIVE_v3.6_2026-09-26.csv,"Adds franchise reuse, remote asset delivery, core-order event reuse, community loop, post-launch normalization and narrative supply risk","Impact telemetry incomplete","Maintain by objective","US performance + production metrics"
Ops Cat Product Translation,PARTIAL,HIGH,09_reports/SIMS_FULL_COMPETITOR_INTELLIGENCE_ATLAS_v4.4_2026-09-26.html,"Adds package reuse / core-vs-remote asset split / story SLA / core-purity rules","Needs own tool/asset pipeline measurements","Prototype reusable state/content pipeline before scope expansion","Authoring hours + build size + D1/D7"
US/Global,PARTIAL,HIGH,09_reports/SIMS_FULL_COMPETITOR_INTELLIGENCE_ATLAS_v4.4_2026-09-26.html,"US App Store evidence separated from Global Android, Unity tech and Stillfront franchise/company evidence","US monthly title economics/source mix missing","Keep labels explicit","US provider/MMP refresh"
Evidence/Status Audit,DONE,HIGH,09_reports/STATUS_AUDIT_v4.4_2026-09-26.csv,"Evidence taxonomy preserved; current reviews and corporate/franchise scope bounded","Material gaps remain","Update every release","Source-level evidence"
