Requirement,Status,Coverage_Maturity,File,Coverage,Limitation,Next_Action,Evidence_Needed
Market/KPI,PARTIAL,HIGH,01_watchlist/DIANDIAN_PRIORITY8_US_CURRENT_MONTH_2026-08.csv,"2026-08 US downloads/IAP same-month same-market for 7/8 Priority8; Heartopia scope mismatch","Sep-2026 not yet mature; Heartopia RPD remains n.a.","Refresh one-provider US month when mature","US Sep D/IAP + Heartopia same-scope row"
Art/Visual,PARTIAL,MEDIUM-HIGH,02_art_style/PRIORITY8_CURRENT_VISUAL_FRAME_INDEX_v0.4_2026-09-25.csv,"Existing Focus4 direct screenshot evidence + current store visual-role coverage for Hay Day/Township/Gossip Harbor/Heartopia","New four are source-described frames, not locally archived annotated binaries","Capture/store 3–8 current screenshot binaries/title","Official current screenshots + annotations"
Core Gameplay,PARTIAL,MEDIUM-HIGH,03_gameplay/PRIORITY8_TIMED_CORE_PROMISE_EVIDENCE_v0.3_2026-09-25.csv,"All Priority8 loops classified; Hay Day timed first-action evidence; Heartopia current daily routine timed","Exact current first-30s device capture incomplete for most titles","Timestamp current builds","Current device/video first 30s"
FTUE,PARTIAL,MEDIUM,03_gameplay/PRIORITY8_CURRENT_ONBOARDING_PROGRESSION_RECOVERY_v0.5_2026-09-25.csv,"Current routes/gates + Hay Day early timed evidence","Exact T+0→30m + D1/D3/D7/D14 incomplete","Normalize current routes","Exact current video/device timestamps"
Progression/Meta/Side,PARTIAL,MEDIUM-HIGH,03_gameplay/PRIORITY8_CURRENT_ONBOARDING_PROGRESSION_RECOVERY_v0.5_2026-09-25.csv,"Current gates and taxonomy retained","Some gates guide-derived","Direct validate key gates","Current account/video evidence"
Economy/Monetization,PARTIAL,HIGH,09_reports/PRIORITY8_MONETIZATION_CRM_ARCHITECTURE_v0.7_2026-09-25.csv,"Subscription/D2C/event-premium/pass architecture recovered","Trigger/segment/frequency/conversion mostly missing","Capture in-game offer sequence","Offer exposure + conversion"
LiveOps/Event Calendar,PARTIAL,HIGH,06_ua_liveops/PRIORITY8_CURRENT_EVENT_OVERLAP_v0.4_2026-09-25.csv,"Current overlap/cadence + recovery evidence retained","Participation/full all-8 historical calendar incomplete","Complete participation/cost layer","Participation + asset cost"
UA/Creative/Promotion,PARTIAL,HIGH,06_ua_liveops/DATAEYE_PRIORITY8_ADX_AUDIT_2026-09-24.md,"ADX creative volume/format/geo + public long-tail evidence + current store promise bridge","Absolute spend/CPI/CTR/CVR and same-vendor normalized 30/90/180 incomplete","Refresh licensed provider windows","Spend + normalized creative history"
Reviews/Versions,PARTIAL,HIGH,09_reports/BIG_FARM_HOMESTEAD_LIVEOPS_RECOVERY_LOG_v0.1_2026-09-25.csv,"Current version/incident/recovery evidence retained","Complete exact review-by-version corpus incomplete","Normalize reviews by exact version","Review timestamp/rating/version/theme"
Trend/Cause,PARTIAL,HIGH,09_reports/SIMS_19_GAME_COMPETITOR_TREND_CAUSE_ANALYSIS_v1.0_2026-09-24.md,"19-game trends + crosschecks; current Aug US snapshot available for 7 same-scope titles","Matched paid/organic/source mix blocks strong causal attribution","Add attribution-aligned source windows","US source mix + spend timing"
Production Burden,PARTIAL,HIGH,09_reports/PRIORITY8_RELEASE_SURFACE_QA_BURDEN_v0.6_2026-09-25.csv,"Release-surface, team/process, cadence and recovery burden retained","Asset-hours/current QA FTE/outsource ratio missing","Capture title-level workflow telemetry","Asset-hours + QA/outsource"
Benchmark-by-Objective,DONE,HIGH,09_reports/BENCHMARK_BY_OBJECTIVE_v1.7_2026-09-25.csv,"Objective-specific set includes first-30s clarity, promise-fit and visual anchor roles","Evidence varies by objective","Maintain by objective","Refresh as new evidence arrives"
Ops Cat Product Translation,PARTIAL,HIGH,09_reports/SIMS_FULL_COMPETITOR_INTELLIGENCE_ATLAS_v2.5_2026-09-25.html,"Adds visual/promise architecture and first-30s rules","Needs prototype telemetry","Run vertical slice + creative/store bridge test","CTR/CVR + first-action + D1/D7"
US/Global,PARTIAL,HIGH,01_watchlist/DIANDIAN_PRIORITY8_US_CURRENT_MONTH_2026-08.csv,"US-first now has same-month Aug D/IAP for 7/8; Global kept secondary","Heartopia scope mismatch + Sep month absent","Keep scope explicit","Same-scope Heartopia + Sep refresh"
Evidence/Status Audit,DONE,HIGH,09_reports/STATUS_AUDIT_v2.5_2026-09-25.csv,"Status taxonomy normalized to parent Skill","Material gaps remain","Update every release","Source-level evidence"
