Requirement,Status,Coverage_Maturity,File,Coverage,Limitation,Next_Action,Evidence_Needed
Market/KPI,PARTIAL,HIGH,01_watchlist/DIANDIAN_PRIORITY8_US_CURRENT_MONTH_2026-08.csv,2026-08 US D/IAP for 7 of 8 retained,Sep US month absent and Heartopia scope mismatch,Refresh one-provider US month,US Sep D/IAP plus Heartopia same-scope row
Art/Visual,PARTIAL,MEDIUM-HIGH,02_art_style/PRIORITY8_CURRENT_VISUAL_FRAME_INDEX_v0.4_2026-09-25.csv,Priority8 visual-role coverage retained,Four titles lack archived annotated binaries,Capture current binaries,Official screenshots plus annotations
Core Gameplay,PARTIAL,MEDIUM-HIGH,03_gameplay/PRIORITY8_TIMED_CORE_PROMISE_EVIDENCE_v0.3_2026-09-25.csv,Priority loops plus selected timed evidence retained,Exact current first-30s incomplete for most,Timestamp current builds,Device/video first 30s
FTUE,PARTIAL,MEDIUM-HIGH,03_gameplay/BIG_FARM_HOMESTEAD_FTUE_MONETIZATION_SEQUENCE_v0.3_2026-09-25.csv,Big Farm monetization-exposure sequence retained,Minute-level current timestamps and other-title exposure maps incomplete,Capture device sessions,T+time plus first offer/ad timestamp
Progression/Meta/Side,PARTIAL,HIGH,03_gameplay/BIG_FARM_HOMESTEAD_FTUE_MONETIZATION_SEQUENCE_v0.3_2026-09-25.csv,Detailed Big Farm Lv1-10 plus Priority8 taxonomy retained,Other titles less granular,Normalize direct captures,Current account/video evidence
Economy/Monetization,PARTIAL,HIGH,09_reports/PRIORITY8_MONETIZATION_CRM_ARCHITECTURE_v0.7_2026-09-25.csv,Architecture retained and Hay Day current payment/reward review-window evidence added,Offer trigger/segment/frequency/conversion mostly missing,Capture in-game offer sequence,Offer exposure/conversion/support
LiveOps/Event Calendar,PARTIAL,HIGH,06_ua_liveops/BIG_FARM_FIRST_PARTY_SOCIAL_CRM_CADENCE_v0.4_2026-09-25.csv,First-party weekly-voucher program plus Sep milestone CRM,Redemption/return impact incomplete,Add claim and return metrics,Claim rate plus reactivation
UA/Creative/Promotion,PARTIAL,HIGH,06_ua_liveops/PRIORITY8_PUBLIC_AD_CHANNEL_ARCHITECTURE_v0.6_2026-09-25.csv,Observed channel architecture retained and Big Farm owned-social cadence strengthened,Paid/organic mix spend/CPI/CTR/CVR incomplete,Acquire MMP/provider attribution,Paid/organic/web mix plus spend/CPI/CTR/CVR
Reviews/Versions,PARTIAL,HIGH,09_reports/CURRENT_VERSION_WINDOW_REVIEW_RECOVERY_v0.4_2026-09-25.csv,Township Sep17-24 patch train plus Hay Day Sep19 post-version review window,Township 39.0.5 too fresh and Hay Day exact review version absent,Recheck after review window matures,Timestamp plus rating plus exact version plus review ID
Trend/Cause,PARTIAL,HIGH,09_reports/SIMS_19_GAME_COMPETITOR_TREND_CAUSE_ANALYSIS_v1.0_2026-09-24.md,Current version/CRM evidence improves crosscheck coverage,Matched source mix/spend windows still absent,Align only when timing and source data match,Source mix plus version/review windows
Production Burden,PARTIAL,HIGH,09_reports/PRIORITY8_PRODUCTION_ENVELOPE_v0.8_2026-09-25.csv,Production envelopes retained and Township rapid patch train adds release-operations burden,Exact staffing/asset-hours/QA ratios missing,Capture staffing/workflow,Headcount plus asset-hours plus QA/outsource
Benchmark-by-Objective,DONE,HIGH,09_reports/BENCHMARK_BY_OBJECTIVE_v2.2_2026-09-25.csv,Adds CRM cadence milestone activation lifestyle CRM rapid patch train and current review-window objectives,Impact telemetry still missing,Maintain by objective,Redemption/return plus exact review-version
Ops Cat Product Translation,PARTIAL,HIGH,09_reports/SIMS_FULL_COMPETITOR_INTELLIGENCE_ATLAS_v3.0_2026-09-25.html,Adds owned-media CRM ladder plus patch-train QA rule plus current-review-window method,Needs owned CRM and release telemetry,Test weekly CRM plus incident review tagging,Claim/reactivation plus patch/review metrics
US/Global,PARTIAL,HIGH,09_reports/SIMS_FULL_COMPETITOR_INTELLIGENCE_ATLAS_v3.0_2026-09-25.html,US-first retained and global-secondary scope explicit,Sep US KPI and MMP mix incomplete,Keep scope explicit,US refresh plus attribution
Evidence/Status Audit,DONE,HIGH,09_reports/STATUS_AUDIT_v3.0_2026-09-25.csv,Formal status taxonomy compliant,Material gaps remain,Update every release,Source-level evidence
