Requirement,Status,Coverage_Maturity,File,Coverage,Limitation,Next_Action,Evidence_Needed
Market/KPI,PARTIAL,HIGH,09_reports/SIMS_FULL_COMPETITOR_INTELLIGENCE_ATLAS_v5.0_2026-09-26.html,Priority8 current US evidence consolidated,Sep US monthly D/IAP/source mix incomplete for most titles,Refresh after month close,US Sep D/IAP + DAU/payer + source mix
Art/Visual,PARTIAL,HIGH,09_reports/SIMS_FULL_COMPETITOR_INTELLIGENCE_ATLAS_v5.0_2026-09-26.html,Cross-product visual/production reads consolidated,Not every key benchmark has 3-8 archived annotated screenshots,Archive key frames,Annotated screenshots
Core Gameplay,DONE,HIGH,09_reports/PRIORITY8_FULL_STACK_BENCHMARK_MATRIX_v1.0_2026-09-26.csv,Priority8 core grammar normalized,First-30s capture partial,Capture remaining clean sessions,T+0 to 30s
FTUE,PARTIAL,HIGH,09_reports/SIMS_FULL_COMPETITOR_INTELLIGENCE_ATLAS_v5.0_2026-09-26.html,System-order principles exist,Exact T+0 to 30m remains largest cross-title gap,Run clean-install captures,T+0/T+5/T+10/T+30m
Progression/Meta/Side,DONE,HIGH,09_reports/PRIORITY8_FULL_STACK_BENCHMARK_MATRIX_v1.0_2026-09-26.csv,Long-meta roles normalized,Reach/participation often missing,Recover system-reach data,Unlock / participation
Economy/Monetization,PARTIAL,HIGH,09_reports/PRIORITY8_FULL_STACK_BENCHMARK_MATRIX_v1.0_2026-09-26.csv,Public ladders and architecture strong,Trigger/segment/frequency/conversion incomplete,Capture live offer routes,Exposure + conversion + payer mix
LiveOps/Event Calendar,HIGH-PARTIAL,HIGH,10_project_initiation/04_PRIORITY8_LIVEOPS_MASTER_EVENT_CATALOG_v1.0_2026-09-26.csv,Canonical base-plus-delta master consolidated,Not exhaustive historical calendar,Continue only on evidence gain,Exact windows + participation + economics
UA/Creative/Promotion,PARTIAL,HIGH,09_reports/PRIORITY8_FULL_STACK_BENCHMARK_MATRIX_v1.0_2026-09-26.csv,Creative operating models normalized,Blended spend/efficiency/source mix incomplete,Acquire MMP/network economics,Spend + CTR/CVR/CPI/ROAS + source mix
Reviews/Versions,PARTIAL,HIGH,09_reports/SIMS_FULL_COMPETITOR_INTELLIGENCE_ATLAS_v5.0_2026-09-26.html,Current themes/version cadence exist,Exact review-by-version corpus incomplete,Acquire review exports,Timestamp + rating + exact version
Trend/Cause,HIGH-PARTIAL,HIGH,09_reports/SIMS_FULL_COMPETITOR_INTELLIGENCE_ATLAS_v5.0_2026-09-26.html,Per-title E0-E2 and scope guardrails retained,Broad payer/source/event cohorts missing,No causal promotion without aligned evidence,US source mix + payer/event cohorts
Production Burden,DONE,HIGH,09_reports/PRIORITY8_OPERATING_COMPLEXITY_SCORECARD_v1.0_2026-09-26.csv,Qualitative operating models normalized,Exact hours/FTE/cost unavailable,Use qualitative tiers until sourced,Title team + asset/event hours + QA/support/server
Benchmark-by-Objective,DONE,HIGH,09_reports/BENCHMARK_BY_OBJECTIVE_v5.0_2026-09-26.csv,Canonical cross-title objective master consolidated,Some evidence intentionally historical/secondary,Maintain canonical master,New first-party/current evidence
Ops Cat Product Translation,DONE,HIGH,09_reports/SIMS_FULL_COMPETITOR_INTELLIGENCE_ATLAS_v5.0_2026-09-26.html,Minimum Viable Operating System defined,Numeric targets require own baseline,Translate into M1/M2 baseline,Own activation/D1/D7 + content hours
Evidence/Status Audit,DONE,HIGH,09_reports/STATUS_AUDIT_v5.0_2026-09-26.csv,Canonical masters reduce delta ambiguity,Material access-gated fields remain,Continue only on evidence gain,Source-level evidence
