Requirement,Status,Coverage_Maturity,File,Coverage,Limitation,Next_Action,Evidence_Needed
Market/KPI,PARTIAL,HIGH,01_watchlist/DIANDIAN_PRIORITY8_US_CURRENT_MONTH_2026-08.csv,2026-08 same-month US D/IAP for 7/8 retained; v2.7 adds Heartopia portfolio payer context,Sep US month absent; Heartopia title-level MAU/payers absent,Refresh US month and title engagement,US Sep D/IAP + title MAU/payers
Art/Visual,PARTIAL,MEDIUM-HIGH,02_art_style/PRIORITY8_CURRENT_VISUAL_FRAME_INDEX_v0.4_2026-09-25.csv,Priority8 visual-role coverage retained,Four titles lack archived annotated binaries,Capture current binaries,Official screenshots + annotations
Core Gameplay,PARTIAL,MEDIUM-HIGH,03_gameplay/PRIORITY8_TIMED_CORE_PROMISE_EVIDENCE_v0.3_2026-09-25.csv,Priority loops + selected timed evidence retained,Exact current first-30s incomplete for most,Timestamp current builds,Device/video first 30s
FTUE,PARTIAL,MEDIUM,03_gameplay/PRIORITY8_CURRENT_ONBOARDING_PROGRESSION_RECOVERY_v0.5_2026-09-25.csv,Current routes/gates retained,Exact T+0→30m + D1/D3/D7/D14 incomplete,Normalize current routes,Exact timestamps / cohort unlocks
Progression/Meta/Side,PARTIAL,MEDIUM-HIGH,03_gameplay/PRIORITY8_CURRENT_ONBOARDING_PROGRESSION_RECOVERY_v0.5_2026-09-25.csv,Current gates/taxonomy retained,Some gates guide-derived,Direct validate key gates,Current account/video evidence
Economy/Monetization,PARTIAL,HIGH,09_reports/PRIORITY8_MONETIZATION_CRM_ARCHITECTURE_v0.7_2026-09-25.csv,Architecture retained; v2.7 adds campaign-cohort ARPU/ROAS behavior,Offer trigger/segment/frequency/conversion mostly missing,Capture in-game offer sequence,Offer exposure + conversion
LiveOps/Event Calendar,PARTIAL,HIGH,06_ua_liveops/PRIORITY8_CURRENT_EVENT_OVERLAP_v0.4_2026-09-25.csv,Current overlap/recovery retained,Participation/full history incomplete,Complete participation/cost layer,Participation + asset cost
UA/Creative/Promotion,PARTIAL,HIGH,06_ua_liveops/PRIORITY8_UA_COHORT_QUALITY_CASES_v0.5_2026-09-25.csv,Adds US My Perfect Hotel/Township cohort-quality cases and Office Cat KR/JP channel cases,Absolute spend/CPI/CTR/CVR and blended profitability missing,Acquire absolute efficiency/source mix,Spend/CPI/CTR/CVR + paid/organic mix
Reviews/Versions,PARTIAL,HIGH,09_reports/BIG_FARM_HOMESTEAD_LIVEOPS_RECOVERY_LOG_v0.1_2026-09-25.csv,Current version/incident evidence retained,Complete exact review-by-version corpus incomplete,Normalize reviews by exact version,Timestamp/rating/version/theme
Trend/Cause,PARTIAL,HIGH,09_reports/SIMS_19_GAME_COMPETITOR_TREND_CAUSE_ANALYSIS_v1.0_2026-09-24.md,Network cases improve mechanism evidence but do not explain unmatched public anomaly windows,Paid/organic/source mix alignment incomplete,Crosscheck attribution-aligned windows,US source mix + spend timing
Production Burden,PARTIAL,HIGH,09_reports/PRIORITY8_PRODUCTION_ENVELOPE_v0.8_2026-09-25.csv,Production envelopes retained,Current exact team/asset-hours/QA ratios missing,Capture staffing/workflow,Headcount + asset-hours + QA/outsource
Benchmark-by-Objective,DONE,HIGH,09_reports/SIMS_FULL_COMPETITOR_INTELLIGENCE_ATLAS_v2.7_2026-09-25.html,Objective-specific benchmark logic retained and expanded with UA cohort-quality cases,Absolute cross-network economics incomplete,Maintain by objective,Owned attribution + absolute metrics
Ops Cat Product Translation,PARTIAL,HIGH,09_reports/SIMS_FULL_COMPETITOR_INTELLIGENCE_ATLAS_v2.7_2026-09-25.html,Adds benchmark→competitor case→prototype→soft launch→scale gate separation,Owner targets remain TBD pending prototype data,Run vertical slice/channel tests,D1/D3/D7 + CPI/ROAS + payer quality
US/Global,PARTIAL,HIGH,09_reports/SIMS_FULL_COMPETITOR_INTELLIGENCE_ATLAS_v2.7_2026-09-25.html,US-first strengthened by Unity US cases; Office Cat KR/JP and Heartopia portfolio evidence remain secondary,Sep US current month and Heartopia title payer data absent,Keep scope separated,US primary refresh
Evidence/Status Audit,DONE,HIGH,09_reports/STATUS_AUDIT_v2.7_2026-09-25.csv,Status taxonomy compliant,Material gaps remain,Update every release,Source-level evidence
