Requirement,Status,Coverage_Maturity,File,Coverage,Limitation,Next_Action,Evidence_Needed
Market/KPI,PARTIAL,HIGH,09_reports/SIMS_FULL_COMPETITOR_INTELLIGENCE_ATLAS_v4.1_2026-09-26.html,"Existing Priority8 US KPI retained; My Perfect Hotel current US store + global lifecycle refreshed","No current matched US monthly D/IAP/source mix for My Perfect Hotel; Sep month incomplete","Refresh provider/MMP after month close","US Sep D/IAP + source mix"
Art/Visual,PARTIAL,HIGH,02_art_style/PRIORITY8_CURRENT_VISUAL_FRAME_INDEX_v0.4_2026-09-25.csv,"Existing visual-role coverage retained; Barbie confirms theme swap while preserving hotel grammar","No newly archived annotated My Perfect Hotel current screenshot set","Capture current main + Barbie screens","3–8 annotated current screenshots"
Core Gameplay,PARTIAL,HIGH,06_ua_liveops/MY_PERFECT_HOTEL_HISTORICAL_FTUE_TIMELINE_v0.1_2026-09-26.csv,"Current store confirms active task-routing core; historical deconstruction adds exact action sequence","Exact current 2026 first-30s video not captured","Re-capture current build","Current T+0→30s"
FTUE,PARTIAL,HIGH,06_ua_liveops/MY_PERFECT_HOTEL_HISTORICAL_FTUE_TIMELINE_v0.1_2026-09-26.csv,"Adds exact historical 12-minute iOS timeline including automation/ad/offer timing","Historical 2024 build; current 2026 timing may differ","Run clean-install 2026 capture using same template","Current T+0/T+5/T+10/T+30m"
Progression/Meta/Side,PARTIAL,HIGH,06_ua_liveops/MY_PERFECT_HOTEL_HISTORICAL_FTUE_TIMELINE_v0.1_2026-09-26.csv,"Adds staged Daily Quests / Cloud Travel / token meta and current Barbie pass/leaderboard/skins","Current exact unlock levels/participation not observed","Validate current build","Unlock + participation + current values"
Economy/Monetization,PARTIAL,HIGH,06_ua_liveops/MY_PERFECT_HOTEL_US_CURRENT_STORE_v0.1_2026-09-26.csv,"Adds current US Gems / Daily Offer / Pet Forever / No Ads and Advertising+IAP storefront truth","No current trigger/segment/frequency; ad density only historical","Capture current monetization/ad sequence","Trigger + segment + ad frequency + conversion"
LiveOps/Event Calendar,PARTIAL,HIGH,10_project_initiation/04_PRIORITY8_LIVEOPS_MASTER_EVENT_CATALOG_v0.2_2026-09-26.csv,"Named-event catalog expanded from 38 to 40; adds Christmas Holiday and Gala Night","Historical calendars remain incomplete; participation mostly unavailable","Continue exact title/start/end recovery","Participation + missing dates + event economics"
UA/Creative/Promotion,PARTIAL,HIGH,06_ua_liveops/PRIORITY8_UA_CREATIVE_PERFORMANCE_RECOVERY_v0.4_2026-09-25.csv,"Historical scale/UA evidence retained; 2026 strategy clearly shifts toward lifecycle/installed base","Current My Perfect Hotel paid/organic/source mix and spend/CPI/CTR/CVR missing","Acquire current attribution/provider data","US paid/organic/web + spend/CPI/CTR/CVR"
Reviews/Versions,PARTIAL,HIGH,06_ua_liveops/MY_PERFECT_HOTEL_VERSION_LIVEOPS_LIFECYCLE_v0.1_2026-09-26.csv,"Adds 25-point Feb2025→Sep2026 version history; older visible review themes retained only as risk signals","No current exact 2026 review-by-version corpus","Acquire review export","Timestamp + rating + exact version + review ID"
Trend/Cause,PARTIAL,HIGH,09_reports/SIMS_FULL_COMPETITOR_INTELLIGENCE_ATLAS_v4.1_2026-09-26.html,"Lifecycle/event evidence expands crosscheck inventory","No current matched US monthly KPI anomaly with source mix; no new E-level","Keep descriptive; do not infer Barbie caused US KPI change","US KPI + source/event/review alignment"
Production Burden,PARTIAL,HIGH,06_ua_liveops/MY_PERFECT_HOTEL_VERSION_LIVEOPS_LIFECYCLE_v0.1_2026-09-26.csv,"Adds ~3–4 week client cadence, long-lived IP destination, parallel standard LiveOps and multi-discipline art-role evidence","Current title team size, asset-hours, QA/support/outsourcing unknown","Recover current production org and per-content effort","Headcount + asset-hours + QA/support/outsourcing"
Benchmark-by-Objective,DONE,HIGH,09_reports/BENCHMARK_BY_OBJECTIVE_v3.3_2026-09-26.csv,"Adds FTUE, staged-system, hybrid monetization, long-lived IP, cadence and lifecycle-extension objectives","Own-product impact telemetry still required","Maintain by objective","Ops Cat owned prototype metrics"
Ops Cat Product Translation,PARTIAL,HIGH,09_reports/SIMS_FULL_COMPETITOR_INTELLIGENCE_ATLAS_v4.1_2026-09-26.html,"Adds Action→Automation staging, delayed meta and durable-wrapper rules","Needs owned FTUE/economy/ad-quality evidence","Prototype low-tutorial action + delayed system exposure","First action / automation / D1 / ad-exit"
US/Global,PARTIAL,HIGH,09_reports/SIMS_FULL_COMPETITOR_INTELLIGENCE_ATLAS_v4.1_2026-09-26.html,"US current store is separated from global lifetime/IP/UA evidence","No current US title economics/source mix","Keep market labels explicit","US provider/MMP refresh"
Evidence/Status Audit,DONE,HIGH,09_reports/STATUS_AUDIT_v4.1_2026-09-26.csv,"Formal taxonomy compliant; initiation pack remains separate from competitor evidence","Material gaps remain","Update each release","Source-level evidence"
