Requirement,Status,Coverage_Maturity,File,Coverage,Limitation,Next_Action,Evidence_Needed
Market/KPI,PARTIAL,HIGH,01_watchlist/DIANDIAN_PRIORITY8_US_CURRENT_MONTH_2026-08.csv,"2026-08 US D/IAP for 7/8 retained; My Perfect Hotel Jul/Aug crosscheck strengthened to E2","Sep US month not mature; Heartopia scope mismatch","Refresh after Sep closes","US Sep D/IAP + Heartopia same-scope row"
Art/Visual,PARTIAL,MEDIUM-HIGH,02_art_style/PRIORITY8_CURRENT_VISUAL_FRAME_INDEX_v0.4_2026-09-25.csv,"Priority8 visual-role coverage retained","Four titles lack archived annotated binaries","Capture current binaries","Official screenshots + annotations"
Core Gameplay,PARTIAL,MEDIUM-HIGH,03_gameplay/PRIORITY8_TIMED_CORE_PROMISE_EVIDENCE_v0.3_2026-09-25.csv,"Priority loops + selected timed evidence retained","Exact current first-30s incomplete for most","Timestamp current builds","Device/video first 30s"
FTUE,PARTIAL,MEDIUM-HIGH,03_gameplay/BIG_FARM_HOMESTEAD_FTUE_MONETIZATION_SEQUENCE_v0.3_2026-09-25.csv,"Big Farm monetization exposure retained","Minute-level and cross-title exposure maps incomplete","Capture device sessions","T+time + first offer/ad timestamp"
Progression/Meta/Side,PARTIAL,HIGH,06_ua_liveops/MY_PERFECT_HOTEL_BARBIE_EVENT_EVIDENCE_v0.2_2026-09-26.csv,"IP story/skin/pass/leaderboard wrapper now has exact first-party in-game duration","Monthly unlock/participation unavailable","Capture live route","Unlock + monthly participation"
Economy/Monetization,PARTIAL,HIGH,06_ua_liveops/MY_PERFECT_HOTEL_BARBIE_EVENT_EVIDENCE_v0.2_2026-09-26.csv,"Barbie pass/leaderboard bridge retained with lifecycle corrected","Price/segment/frequency/conversion missing","Capture pass/offer surfaces","Price/trigger/conversion + payer cohort"
LiveOps/Event Calendar,PARTIAL,HIGH,06_ua_liveops/MY_PERFECT_HOTEL_BARBIE_EVENT_EVIDENCE_v0.2_2026-09-26.csv,"In-game Barbie duration corrected to Apr23 2026→Mar31 2027; Apr21→May20 store promo separated; parallel LiveOps documented","Monthly participation / asset burden / sub-event cadence missing","Add event entry / pass / leaderboard activity by month","Participation + asset/approval burden"
UA/Creative/Promotion,PARTIAL,HIGH,06_ua_liveops/MY_PERFECT_HOTEL_BARBIE_EVENT_EVIDENCE_v0.2_2026-09-26.csv,"Store-promo card separated from persistent in-game IP program; paid-channel research retained","No paid/organic/source mix or campaign spend","Acquire MMP/provider attribution","Paid/organic/web + spend/CPI/CTR/CVR"
Reviews/Versions,PARTIAL,HIGH,09_reports/CURRENT_REVIEW_QUALITY_WINDOW_v0.5_2026-09-25.csv,"Current review/version work retained; App Store version notes used as independent Version/Content class","Full exact review-version corpus incomplete","Recheck mature windows","Timestamp + rating + version + review ID"
Trend/Cause,PARTIAL,HIGH,09_reports/SIMS_TREND_CAUSE_ANOMALY_UPGRADE_v1.2_2026-09-26.csv,"My Perfect Hotel Jul/Aug E1→E2 via Event/Promotion + Version/Content; no causal label","No source mix/spend/payer/monthly event-entry cohort","Keep E2 until independent attribution aligns","Source mix + monthly event/pass/leaderboard cohorts"
Production Burden,PARTIAL,HIGH,06_ua_liveops/MY_PERFECT_HOTEL_BARBIE_EVENT_EVIDENCE_v0.2_2026-09-26.csv,"Long-horizon licensed IP + parallel standard LiveOps burden added","Asset-hours/approval SLA/team split unknown","Recover IP workflow if public","Asset-hours + approval/localization cycle"
Benchmark-by-Objective,DONE,HIGH,09_reports/BENCHMARK_BY_OBJECTIVE_v2.5_2026-09-26.csv,"Long-horizon IP retention, reactivation proof, promo-vs-event timing and E2 discipline added","Impact attribution incomplete","Maintain by objective","Monthly participation / source mix"
Ops Cat Product Translation,PARTIAL,HIGH,09_reports/SIMS_FULL_COMPETITOR_INTELLIGENCE_ATLAS_v3.3_2026-09-26.html,"Persistent-IP wrapper design and multi-timestamp separation added","Needs owned wrapper test","Prototype non-licensed 3–6 month wrapper","Event entry + D7/D30 + payer/IAA quality"
US/Global,PARTIAL,HIGH,09_reports/SIMS_FULL_COMPETITOR_INTELLIGENCE_ATLAS_v3.3_2026-09-26.html,"US-first retained; global/lifecycle evidence used as context, not relabeled US source mix","Sep US KPI and MMP mix incomplete","Keep scopes explicit","US refresh + attribution"
Evidence/Status Audit,DONE,HIGH,09_reports/STATUS_AUDIT_v3.3_2026-09-26.csv,"Formal taxonomy compliant; v3.1 timing ambiguity corrected","Material gaps remain","Update every release","Source-level evidence"
