Requirement,Status,Coverage_Maturity,File,Coverage,Limitation,Next_Action,Evidence_Needed
Market/KPI,PARTIAL,HIGH,06_ua_liveops/HAY_DAY_US_CURRENT_PRODUCT_MONETIZATION_v0.1_2026-09-26.csv,"Current US 4.7/651K/#7 Family/828MB; existing Aug US KPI retained","No mature Sep US monthly D/IAP/source mix","Refresh after month close","US Sep D/IAP + source mix"
Art/Visual,PARTIAL,HIGH,02_art_style/PRIORITY8_CURRENT_VISUAL_FRAME_INDEX_v0.4_2026-09-25.csv,"Stable stylized farm readability + seasonal/brand reskins retained","No new annotated Sep image pack archived","Capture Whispering Woods/Farm Pass/boat frames","3–8 annotated screens"
Core Gameplay,PARTIAL,HIGH,06_ua_liveops/HAY_DAY_US_CURRENT_PRODUCT_MONETIZATION_v0.1_2026-09-26.csv,"Current store confirms harvest→produce→trade/order→expand loop; Boat/Truck experiments deepen core","Exact current first-30s incomplete","Capture current US first session","T+0→30s"
FTUE,PARTIAL,HIGH,06_ua_liveops/HAY_DAY_PRODUCTION_REBUILD_BENCHMARK_v0.1_2026-09-26.csv,"First-party onboarding rebuild + 2026 early-game tuning","No exact current T+0→30m or pre/post KPI","Capture current session/cohort","T+0/T+5/T+10/T+30m + pre/post"
Progression/Meta/Side,PARTIAL,HIGH,06_ua_liveops/HAY_DAY_NAMED_EVENT_LIFECYCLE_v0.1_2026-09-26.csv,"Neighborhood Nurture Boat/Voyage Farm Pass challenge and brand layers","Unlock/participation distributions missing","Map live account route","Unlock + participation"
Economy/Monetization,PARTIAL,HIGH,06_ua_liveops/HAY_DAY_US_CURRENT_PRODUCT_MONETIZATION_v0.1_2026-09-26.csv,"US IAP ladder + Loot Boxes/Advertising + Pass/Bundle + recurring capacity subscription","No trigger/segment/frequency/conversion or ad frequency","Capture offer/pass/ad route","Trigger + segment + frequency + conversion"
LiveOps/Event Calendar,PARTIAL,HIGH,06_ua_liveops/HAY_DAY_NAMED_EVENT_LIFECYCLE_v0.1_2026-09-26.csv,"10 current/historical event/test instances + limited-rollout patterns","Not complete 2026 calendar; some dates/participation TBD","Continue first-party recovery","Exact windows + participation + overlap"
UA/Creative/Promotion,PARTIAL,HIGH,06_ua_liveops/HAY_DAY_NAMED_EVENT_LIFECYCLE_v0.1_2026-09-26.csv,"Lance Bass/Rainforest and Joe Jonas cross-channel activation patterns","No US paid/organic/source mix or campaign spend/CPI/CTR/CVR","Acquire attribution/provider data","US paid/organic/web + spend/CPI/CTR/CVR"
Reviews/Versions,PARTIAL,HIGH,06_ua_liveops/HAY_DAY_US_CURRENT_PRODUCT_MONETIZATION_v0.1_2026-09-26.csv,"Current version 1.72.86 and 2026 release train captured","No current exact review-by-version corpus","Acquire review export","Timestamp + rating + version + review ID"
Trend/Cause,PARTIAL,HIGH,09_reports/SIMS_FULL_COMPETITOR_INTELLIGENCE_ATLAS_v4.3_2026-09-26.html,"Version/event/team evidence expands crosscheck inventory","No matched Sep US monthly KPI anomaly/source mix/payer-event cohorts; no new E-level","Keep descriptive","US KPI + source/event/review alignment"
Production Burden,PARTIAL,HIGH,06_ua_liveops/HAY_DAY_PRODUCTION_REBUILD_BENCHMARK_v0.1_2026-09-26.csv,"First-party team >60 + Release/LiveOps/Analytics/QA roles + community/product loop","No asset-hours/per-event staffing/outsourcing/budget","Recover production metrics","Asset-hours + event-hours + QA/support + outsourcing"
Benchmark-by-Objective,DONE,HIGH,09_reports/BENCHMARK_BY_OBJECTIVE_v3.5_2026-09-26.csv,"Adds live-service resurrection mature FTUE surgery controlled experimentation recurring capacity subscription and cross-channel brand activation","Impact telemetry incomplete","Maintain by objective","Pre/post FTUE + event/monetization impact"
Ops Cat Product Translation,PARTIAL,HIGH,09_reports/SIMS_FULL_COMPETITOR_INTELLIGENCE_ATLAS_v4.3_2026-09-26.html,"Adds feature-flag/limited-rollout requirement and separates MVP team from mature LiveOps organization","Needs own experiment infrastructure and throughput data","Implement cohort flags + one core-engine event test","Exposure + D1/D7 + asset/config hours"
US/Global,PARTIAL,HIGH,09_reports/SIMS_FULL_COMPETITOR_INTELLIGENCE_ATLAS_v4.3_2026-09-26.html,"US App Store evidence separated from global/select-region subscription/team/campaign evidence","Current Sep US economics/source mix missing","Maintain scope labels","US provider/MMP refresh"
Evidence/Status Audit,DONE,HIGH,09_reports/STATUS_AUDIT_v4.3_2026-09-26.csv,"Evidence taxonomy preserved; limited tests/select-region subscription explicitly bounded","Material gaps remain","Update every release","Source-level evidence"
