Requirement,Status,File,Coverage,Limitation,Next Action,Evidence Needed
Market/KPI,PARTIAL++,01_watchlist/PRIORITY8_CURRENT_PLATFORM_KPI_RECOVERY_v0.1_2026-09-25.csv,"v2.0 current/datestamped provider evidence retained","No normalized current US monthly D/IAP for all Priority8","Acquire one-provider US export","US D/IAP by title/platform/month"
Art/Visual,PARTIAL+,02_art_style/FOCUS4_ANNOTATED_VISUAL_EVIDENCE_v0.2_2026-09-25.csv,"Focus4 annotated visual evidence","Broader current event/gameplay binaries incomplete","Capture active-event UI/frames","3-8 current frames/title"
Core Gameplay,PARTIAL+,09_reports/SIMS_FULL_COMPETITOR_INTELLIGENCE_ATLAS_v2.1_2026-09-25.html,"Priority loops classified","Current first-30s incomplete","Normalize current first-30s","Device/video captures"
FTUE,PARTIAL+,09_reports/PRIORITY8_FTUE_NEW_PLAYER_COVERAGE_MATRIX_v1.0_2026-09-25.csv,"Existing timed/sequence/gate coverage","Current T+0→30m + D1/D3/D7/D14 incomplete","Timestamp current routes","Current account captures"
Progression/Meta/Side,PARTIAL+,09_reports/SIMS_FULL_COMPETITOR_INTELLIGENCE_ATLAS_v2.1_2026-09-25.html,"Taxonomy + known gates","Some guide-derived","Direct validate gates","Current account/video evidence"
Economy/Monetization,PARTIAL++,09_reports/PRIORITY8_VERSION_CONTENT_QA_RECOVERY_v0.3_2026-09-25.csv,"Current ad/fairness/payment-challenge signals","Offer segmentation/frequency/conversion missing","Capture in-game offers","Trigger/segment/frequency/conversion"
LiveOps/Event Calendar,PARTIAL+++,06_ua_liveops/PRIORITY8_CURRENT_EVENT_OVERLAP_v0.4_2026-09-25.csv,"Current Sep25 overlap/cadence with corrected Big Farm starts and Heartopia concurrency","Not all Priority8 have full start/end/participation","Complete all-title normalized event calendar","Participation + asset cost + end dates"
UA/Creative/Promotion,PARTIAL++,06_ua_liveops/PRIORITY8_UA_CREATIVE_PERFORMANCE_RECOVERY_v0.4_2026-09-25.csv,"Existing v1.9/v2.0 recovery retained","Absolute spend/CPI/CTR/CVR + normalized all-8 30/90/180 incomplete","Provider refresh","Spend and histories"
Reviews/Versions,PARTIAL+++,09_reports/PRIORITY8_VERSION_CONTENT_QA_RECOVERY_v0.3_2026-09-25.csv,"Adds current Office Cat release train, Big Farm date corrections, current sentiment risk","No full exact review-version export","Normalize full review history","Timestamp/rating/version/theme"
Trend/Cause,DONE/PARTIAL,09_reports/SIMS_19_GAME_COMPETITOR_TREND_CAUSE_ANALYSIS_v1.0_2026-09-24.md,"No unsupported causal promotion","Matched current US source mix still missing","Add attribution-aligned windows","US paid/organic/source mix"
Production Burden,PARTIAL++,09_reports/PRIORITY8_PRODUCTION_BURDEN_EVIDENCE_v0.3_2026-09-25.csv,"Adds live event concurrency as operational burden evidence","Current asset-hours/QA FTE/outsource ratios missing","Capture title-level workflow","Asset-hours + QA/outsource"
Benchmark-by-Objective,DONE,09_reports/BENCHMARK_BY_OBJECTIVE_v1.3_2026-09-25.csv,"Adds dense-event, CRM, QA-release objectives","Acquisition efficiency still incomplete","Maintain by objective","US KPI + production telemetry"
Ops Cat Product Translation,DONE/PARTIAL,09_reports/SIMS_FULL_COMPETITOR_INTELLIGENCE_ATLAS_v2.1_2026-09-25.html,"Adds concurrency cap, CRM separation, state-persistence QA","Needs prototype telemetry","Run vertical slice","FTUE/D1/D7/event entry/QA"
US/Global,DONE/PARTIAL,09_reports/SIMS_FULL_COMPETITOR_INTELLIGENCE_ATLAS_v2.1_2026-09-25.html,"US-first retained; Heartopia Global-secondary explicitly scoped","Market-specific KPI incomplete","Continue scope separation","US primary data"
Evidence/Status Audit,DONE,09_reports/STATUS_AUDIT_v2.1_2026-09-25.csv,"Explicit v2.1 status","Material gaps remain","Update next round","Source-level evidence"
