Requirement,Status,File,Coverage,Limitation,Next Action,Evidence Needed
Market/KPI,PARTIAL,01_watchlist/GOSSIP_HARBOR_US_AUG2026_MATCHED_KPI_v0.1_2026-09-26.csv,"US Aug KPI retained; US store refreshed","Sep month/source mix missing","Refresh after month close","US Sep D/IAP + source mix"
Art/Visual,PARTIAL,02_art_style/PRIORITY8_CURRENT_VISUAL_FRAME_INDEX_v0.4_2026-09-25.csv,"Current visual-role matrix retained","Gossip direct annotated pack incomplete","Capture current screens","3–8 annotated screens"
Core Gameplay,PARTIAL,06_ua_liveops/GOSSIP_HARBOR_CURRENT_PROGRESSION_ECONOMY_v0.1_2026-09-26.csv,"Generator→merge→order with energy/space pressure","No exact first-30s timing","Capture current first session","T+0→30s"
FTUE,PARTIAL,06_ua_liveops/GOSSIP_HARBOR_CURRENT_PROGRESSION_ECONOMY_v0.1_2026-09-26.csv,"Early fast tempo→Lv12 space pressure","No exact T+0→30m","Capture timed session","T+0/T+5/T+10/T+30m"
Progression/Meta/Side,PARTIAL,06_ua_liveops/GOSSIP_HARBOR_CURRENT_PROGRESSION_ECONOMY_v0.1_2026-09-26.csv,"6 permanent side quests + Lv15 boost","Exact live unlock/participation missing","Validate current build","Unlock + participation"
Economy/Monetization,PARTIAL,06_ua_liveops/GOSSIP_HARBOR_CURRENT_US_STORE_MONETIZATION_v0.1_2026-09-26.csv,"US IAP/loot-box/ads + energy/space/inventory","Offer/ad/gacha telemetry missing","Capture monetization sequence","Trigger + segment + frequency + conversion"
LiveOps/Event Calendar,PARTIAL,06_ua_liveops/GOSSIP_HARBOR_VERSION_LIVEOPS_CADENCE_v0.1_2026-09-26.csv,"Weekly episode + rotating event wrapper","Participation/calendar incomplete","Complete live event map","Start/end + participation"
UA/Creative/Promotion,PARTIAL,06_ua_liveops/PRIORITY8_OWNED_CRM_CADENCE_v0.6_2026-09-26.csv,"Gift-link CRM retained","Paid/organic/spend missing","Acquire attribution","Paid/organic/web + spend/CPI/CTR/CVR"
Reviews/Versions,PARTIAL,09_reports/GOSSIP_HARBOR_TREND_CAUSE_ANOMALY_v0.1_2026-09-26.csv,"Current v3.99.0/version cadence retained","Exact review-version corpus missing","Acquire review export","Timestamp + rating + version + review ID"
Trend/Cause,PARTIAL,09_reports/GOSSIP_HARBOR_TREND_CAUSE_ANOMALY_v0.1_2026-09-26.csv,"Aug US anomaly remains E1","No source/payer/event cohort evidence","Hold E1","Source mix + payer/event cohorts"
Production Burden,PARTIAL,06_ua_liveops/GOSSIP_HARBOR_CURRENT_PROGRESSION_ECONOMY_v0.1_2026-09-26.csv,"Weekly story + events + permanent side chains","Team/asset-hours unknown","Recover production evidence","Headcount + art/narrative/localization/QA hours"
Benchmark-by-Objective,DONE,09_reports/BENCHMARK_BY_OBJECTIVE_v3.2_2026-09-26.csv,"Objective matrix updated","Impact telemetry incomplete","Maintain","Payer/event/FTUE telemetry"
Ops Cat Product Translation,PARTIAL,09_reports/SIMS_FULL_COMPETITOR_INTELLIGENCE_ATLAS_v4.0_2026-09-26.html,"Staged scarcity + optional side goal + acceleration test","Own economy telemetry needed","Prototype","Board occupancy + energy + D1/D7"
US/Global,PARTIAL,09_reports/SIMS_FULL_COMPETITOR_INTELLIGENCE_ATLAS_v4.0_2026-09-26.html,"US store kept separate from global mechanics","Sep US source data missing","Refresh US provider/MMP","US monthly KPI + source mix"
Evidence/Status Audit,DONE,09_reports/STATUS_AUDIT_v4.0_2026-09-26.csv,"Formal audit present","Material gaps remain","Update each release","Source-level evidence"
