Requirement,Status,Coverage_Maturity,File,Coverage,Limitation,Next_Action,Evidence_Needed
Market/KPI,PARTIAL,HIGH,01_watchlist/DIANDIAN_PRIORITY8_US_CURRENT_MONTH_2026-08.csv,2026-08 US D/IAP for 7/8 retained,Sep US month absent; Heartopia scope mismatch,Refresh one-provider US month,US Sep D/IAP + Heartopia same-scope row
Art/Visual,PARTIAL,MEDIUM-HIGH,02_art_style/PRIORITY8_CURRENT_VISUAL_FRAME_INDEX_v0.4_2026-09-25.csv,Priority8 visual-role coverage retained,Four titles lack archived annotated binaries,Capture current binaries,Official screenshots + annotations
Core Gameplay,PARTIAL,MEDIUM-HIGH,03_gameplay/PRIORITY8_TIMED_CORE_PROMISE_EVIDENCE_v0.3_2026-09-25.csv,Priority loops + selected timed evidence retained,Exact current first-30s incomplete for most,Timestamp current builds,Device/video first 30s
FTUE,PARTIAL,MEDIUM-HIGH,03_gameplay/BIG_FARM_HOMESTEAD_FTUE_MONETIZATION_SEQUENCE_v0.3_2026-09-25.csv,Big Farm exact level-gated first contract/tutorial release/ad-contract/gem-slot/daily-quest/Hot Deals/Community Store exposure,No minute-level current Big Farm timestamps; other Priority8 exposure incomplete,Capture current device sessions,T+time + screenshot + first offer/ad timestamp
Progression/Meta/Side,PARTIAL,HIGH,03_gameplay/BIG_FARM_HOMESTEAD_FTUE_MONETIZATION_SEQUENCE_v0.3_2026-09-25.csv,Adds detailed Lv1→10 progression/ownership/economy sequence,Guide-derived; other titles less granular,Direct-validate and normalize other titles,Current account/video evidence
Economy/Monetization,PARTIAL,HIGH,03_gameplay/BIG_FARM_HOMESTEAD_FTUE_MONETIZATION_SEQUENCE_v0.3_2026-09-25.csv,Adds early rewarded-ad/gem/shop exposure sequence,Price/segment/frequency/conversion missing,Capture offer cards by gate,Trigger/price/duration/frequency/segment/conversion
LiveOps/Event Calendar,PARTIAL,HIGH,06_ua_liveops/TOWNSHIP_HAYDAY_PUBLIC_LIVEOPS_RECOVERY_v0.2_2026-09-25.csv,Current overlap/event history retained,Participation/full history incomplete,Complete participation/cost layer,Participation + asset cost
UA/Creative/Promotion,PARTIAL,HIGH,06_ua_liveops/PRIORITY8_PUBLIC_AD_CHANNEL_ARCHITECTURE_v0.6_2026-09-25.csv,Observed channel architecture retained,Paid/organic mix and spend/CPI/CTR/CVR incomplete,Acquire MMP/provider attribution,Paid/organic/web mix + spend/CPI/CTR/CVR
Reviews/Versions,PARTIAL,HIGH,09_reports/PRIORITY8_VERSION_TAGGED_REVIEW_MATRIX_v0.3_2026-09-25.csv,Adds exact-version review samples for Office Cat/Township/Gossip Harbor/Hay Day,Review timestamps missing for many exact-version rows; corpus incomplete,Acquire export with timestamp + rating + version + review ID,Exact review timestamp/rating/version/theme corpus
Trend/Cause,PARTIAL,HIGH,09_reports/SIMS_19_GAME_COMPETITOR_TREND_CAUSE_ANALYSIS_v1.0_2026-09-24.md,Version-tagged review evidence improves historical quality crosschecks,Matched dates/source mix still incomplete,Use only where timing aligns,Timestamped review-version + source mix
Production Burden,PARTIAL,HIGH,09_reports/PRIORITY8_PRODUCTION_ENVELOPE_v0.8_2026-09-25.csv,Production envelopes retained,Current exact team/asset-hours/QA ratios missing,Capture staffing/workflow,Headcount + asset-hours + QA/outsource
Benchmark-by-Objective,DONE,HIGH,09_reports/BENCHMARK_BY_OBJECTIVE_v2.1_2026-09-25.csv,Adds early-monetization sequencing and version-tagged review objectives,Some review dates unavailable,Maintain by objective,Timestamped exact-version reviews
Ops Cat Product Translation,PARTIAL,HIGH,09_reports/SIMS_FULL_COMPETITOR_INTELLIGENCE_ATLAS_v2.9_2026-09-25.html,Adds monetization-exposure sequencing and review-version QA guardrails,Needs owned FTUE/offer telemetry,Test first-ad/first-offer timing after tutorial release,T+time + conversion + D1/D7
US/Global,PARTIAL,HIGH,09_reports/SIMS_FULL_COMPETITOR_INTELLIGENCE_ATLAS_v2.9_2026-09-25.html,US-first retained; review and guide sources keep explicit scope,Sep US KPI and MMP mix incomplete,Keep scope separated,US refresh + attribution
Evidence/Status Audit,DONE,HIGH,09_reports/STATUS_AUDIT_v2.9_2026-09-25.csv,Formal status taxonomy compliant,Material gaps remain,Update every release,Source-level evidence
